,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명
5,2001300,PEMA033101400,20000,2493,49860000,2020-02-21,2020-02-24,PEMA-580FX
45,2003300,PEMA023098200,20000,2441,48820000,2020-02-21,2020-02-24,PEMA-580FX
104,2005300,PEMA023098200,20000,2675,53500000,2020-12-31,2021-01-03,PEMA-580FX
107,2005700,SSA073046500,1000,1188,1188000,2020-01-11,2020-01-14,AE
109,2005600,SSA073046500,2000,1471,2942000,2020-01-21,2020-01-24,AE
115,2003800,SSA073046500,2000,2233,4466000,2020-02-13,2020-02-16,AE
117,2003600,SSA073046500,2000,2373,4746000,2020-02-19,2020-02-22,AE
119,2005900,SSA073046500,1000,1119,1119000,2020-02-25,2020-02-28,AE
188,2003800,SSA073046500,2000,2233,4466000,2020-12-06,2020-12-09,AE
190,2003600,SSA073046500,2000,2373,4746000,2020-12-12,2020-12-15,AE
191,2004200,SSA073046500,2000,2593,5186000,2020-12-19,2020-12-22,AE
193,2003600,SSA073046500,2000,2373,4746000,2020-12-22,2020-12-25,AE
194,2004200,SSA073046500,2000,2593,5186000,2020-12-29,2021-01-01,AE
195,2005500,SSA073046500,1000,2677,2677000,2020-12-31,2021-01-03,AE
197,2004400,PEMA043099800,10000,2311,23110000,2020-02-15,2020-02-18,CSA5000
207,2004400,PEMA043099800,10000,2311,23110000,2020-12-08,2020-12-11,CSA5000
215,2002100,PEMA013085300,10000,1222,12220000,2020-01-12,2020-01-15,CSA5000
216,2001400,PEMA013085300,10000,1429,14290000,2020-01-19,2020-01-22,CSA5000
217,2004500,PEMA013085300,10000,1602,16020000,2020-01-26,2020-01-29,CSA5000
218,2006612,PEMA013085300,10000,1839,18390000,2020-02-02,2020-02-05,CSA5000
254,2002300,PEMA013085300,10000,2502,25020000,2020-12-15,2020-12-18,CSA5000
255,2002300,PEMA013085300,10000,2502,25020000,2020-12-25,2020-12-28,CSA5000
258,2002700,PEMA023100800,10000,1441,14410000,2020-01-20,2020-01-23,PEMA-HR1000
281,2007600,PEMA013131100,10000,1565,15650000,2020-01-25,2020-01-28,PEMA-HR1000
283,2004901,PEMA013131100,10000,2458,24580000,2020-02-21,2020-02-24,PEMA-HR1000
306,2006000,PEMA013000210,7000,1404,9828000,2020-01-19,2020-01-22,PEMA-HR1000
318,2003800,PEMA063041501,7000,1168,8176000,2020-01-05,2020-01-11,PEMA-HR1000
319,2006700,PEMA063041501,10000,1201,12010000,2020-01-11,2020-01-14,PEMA-HR1000
323,2005200,PEMA063041501,10000,1609,16090000,2020-01-26,2020-01-29,PEMA-HR1000
324,2001400,PEMA063041501,10000,1713,17130000,2020-01-29,2020-02-01,PEMA-HR1000
325,2003600,PEMA063041501,10000,1805,18050000,2020-02-02,2020-02-05,PEMA-HR1000
329,2001500,PEMA063041501,10000,2211,22110000,2020-02-12,2020-02-15,PEMA-HR1000
331,2004200,PEMA063041501,10000,2380,23800000,2020-02-19,2020-02-22,PEMA-HR1000
333,2003800,PEMA063041501,7000,1168,8176000,2020-02-26,2020-03-01,PEMA-HR1000
412,2001500,PEMA063041501,10000,2211,22110000,2020-12-05,2020-12-08,PEMA-HR1000
414,2004200,PEMA063041501,10000,2380,23800000,2020-12-12,2020-12-15,PEMA-HR1000
415,2002500,PEMA063041501,15000,2504,37560000,2020-12-15,2020-12-18,PEMA-HR1000
417,2004200,PEMA063041501,10000,2380,23800000,2020-12-22,2020-12-25,PEMA-HR1000
418,2002500,PEMA063041501,15000,2504,37560000,2020-12-25,2020-12-28,PEMA-HR1000
421,2002700,PEMA013121910,5000,1512,7560000,2020-01-22,2020-01-25,PEMA-HR1000
445,2001400,PEMA013060901,10000,1642,16420000,2020-01-26,2020-01-29,PEMA-HR1000
446,2004500,PEMA013060901,10000,2241,22410000,2020-02-13,2020-02-16,PEMA-HR1000
461,2004500,PEMA013060901,10000,2241,22410000,2020-12-06,2020-12-09,PEMA-HR1000
465,2001600,PEMA013046900,10000,2141,21410000,2020-02-08,2020-02-11,PEMA-HR1000
489,2001600,PEMA013046900,10000,2141,21410000,2020-12-01,2020-12-04,PEMA-HR1000
490,2006606,PEMA013046900,10000,2547,25470000,2020-12-16,2020-12-19,PEMA-HR1000
491,2006606,PEMA013046900,10000,2547,25470000,2020-12-26,2020-12-29,PEMA-HR1000
500,2002400,PEMA013125500,10000,2148,21480000,2020-02-09,2020-02-12,PEMA-HR1000
520,2002400,PEMA013125500,10000,2148,21480000,2020-12-02,2020-12-05,PEMA-HR1000
524,2007100,PEMA023046501,10000,1489,14890000,2020-01-21,2020-01-24,PEMA-HR1000
543,2006609,PEMA033046500,10000,1057,10570000,2020-01-02,2020-01-05,PEMA-HR1000
544,2006400,PEMA033046500,15000,1195,17925000,2020-01-11,2020-01-14,PEMA-HR1000
546,2007000,PEMA033046500,5000,1488,7440000,2020-01-21,2020-01-24,PEMA-HR1000
550,2003500,PEMA033046500,10000,1733,17330000,2020-01-31,2020-02-03,PEMA-HR1000
552,2005900,PEMA033046500,10000,1900,19000000,2020-02-04,2020-02-07,PEMA-HR1000
556,2004700,PEMA033046500,15000,2172,32580000,2020-02-11,2020-02-14,PEMA-HR1000
557,2005000,PEMA033046500,10000,2246,22460000,2020-02-13,2020-02-16,PEMA-HR1000
559,2004300,PEMA033046500,5000,2381,11905000,2020-02-19,2020-02-22,PEMA-HR1000
561,2006609,PEMA033046500,10000,1057,10570000,2020-02-23,2020-02-26,PEMA-HR1000
658,2004700,PEMA033046500,15000,2172,32580000,2020-12-04,2020-12-07,PEMA-HR1000
659,2005000,PEMA033046500,10000,2246,22460000,2020-12-06,2020-12-09,PEMA-HR1000
661,2004300,PEMA033046500,5000,2381,11905000,2020-12-12,2020-12-15,PEMA-HR1000
662,2003300,PEMA033046500,10000,2512,25120000,2020-12-15,2020-12-18,PEMA-HR1000
663,2006400,PEMA033046500,5000,2615,13075000,2020-12-19,2020-12-22,PEMA-HR1000
665,2004300,PEMA033046500,5000,2381,11905000,2020-12-22,2020-12-25,PEMA-HR1000
666,2003300,PEMA033046500,10000,2512,25120000,2020-12-25,2020-12-28,PEMA-HR1000
667,2006400,PEMA033046500,5000,2615,13075000,2020-12-29,2021-01-01,PEMA-HR1000
668,2007000,PEMA033046500,10000,2695,26950000,2020-12-31,2021-01-03,PEMA-HR1000
676,2002200,PEMA013105210,10000,1223,12230000,2020-01-12,2020-01-15,PEMA-HR1000
678,2006700,PEMA013105210,9000,1485,13365000,2020-01-21,2020-01-24,PEMA-HR1000
681,2002000,PEMA013105210,9000,1931,17379000,2020-02-05,2020-02-07,PEMA-HR1000
733,2002600,PEMA013105210,9000,2576,23184000,2020-12-18,2020-12-21,PEMA-HR1000
734,2002600,PEMA013105210,9000,2576,23184000,2020-12-28,2020-12-31,PEMA-HR1000
755,2005000,PEMA033030500,12000,1749,20988000,2020-01-31,2020-02-03,PEMA-HR1500
785,2007400,PEMA053046500,7000,1137,7959000,2020-01-03,2020-01-06,PEMA-HR1500
786,2007600,PEMA053046500,5000,1210,6050000,2020-01-11,2020-01-14,PEMA-HR1500
787,2002800,PEMA053046500,5000,1300,6500000,2020-01-14,2020-01-17,PEMA-HR1500
789,2007600,PEMA053046500,7000,1494,10458000,2020-01-21,2020-01-24,PEMA-HR1500
791,2004700,PEMA053046500,5000,1746,8730000,2020-01-31,2020-02-03,PEMA-HR1500
794,2005200,PEMA053046500,3000,2177,6531000,2020-02-11,2020-02-14,PEMA-HR1500
795,2005900,PEMA053046500,5000,2255,11275000,2020-02-13,2020-02-16,PEMA-HR1500
796,2006100,PEMA053046500,3000,2328,6984000,2020-02-15,2020-02-18,PEMA-HR1500
797,2005100,PEMA053046500,7000,2389,16723000,2020-02-19,2020-02-22,PEMA-HR1500
799,2007400,PEMA053046500,7000,1137,7959000,2020-02-24,2020-02-27,PEMA-HR1500
872,2005200,PEMA053046500,3000,2177,6531000,2020-12-04,2020-12-07,PEMA-HR1500
873,2005900,PEMA053046500,5000,2255,11275000,2020-12-06,2020-12-09,PEMA-HR1500
874,2006100,PEMA053046500,3000,2328,6984000,2020-12-08,2020-12-11,PEMA-HR1500
875,2005100,PEMA053046500,7000,2389,16723000,2020-12-12,2020-12-15,PEMA-HR1500
876,2006900,PEMA053046500,7000,2623,18361000,2020-12-19,2020-12-22,PEMA-HR1500
878,2005100,PEMA053046500,7000,2389,16723000,2020-12-22,2020-12-25,PEMA-HR1500
879,2006900,PEMA053046500,7000,2623,18361000,2020-12-29,2021-01-01,PEMA-HR1500
880,2007600,PEMA053046500,4000,2701,10804000,2020-12-31,2021-01-03,PEMA-HR1500
882,2003700,PCA021027605,12100,1025,12402500,2020-02-21,2020-02-24,ARE-580FX
889,2003300,PEMA023129801,22000,1234,27148000,2020-01-12,2020-01-15,PEMA-PR1000
890,2003400,PEMA023129801,3000,1235,3705000,2020-01-12,2020-01-15,PEMA-PR1000
891,2007100,PEMA023129801,22000,1418,31196000,2020-01-19,2020-01-22,PEMA-PR1000
892,2007200,PEMA023129801,3000,1419,4257000,2020-01-19,2020-01-22,PEMA-PR1000
893,2002400,PEMA023129801,22000,1580,34760000,2020-01-25,2020-01-28,PEMA-PR1000
894,2002500,PEMA023129801,3000,1581,4743000,2020-01-25,2020-01-28,PEMA-PR1000
899,2007302,PEMA023129801,22000,2130,46860000,2020-02-08,2020-02-11,PEMA-PR1000
900,2007400,PEMA023129801,3000,2131,6393000,2020-02-08,2020-02-11,PEMA-PR1000
903,2006800,PEMA023129801,22000,2480,54560000,2020-02-21,2020-02-24,PEMA-PR1000
904,2006900,PEMA023129801,3000,2481,7443000,2020-02-21,2020-02-24,PEMA-PR1000
997,2007302,PEMA023129801,22000,2130,46860000,2020-12-01,2020-12-04,PEMA-PR1000
998,2007400,PEMA023129801,3000,2131,6393000,2020-12-01,2020-12-04,PEMA-PR1000
1007,2006609,PEMA023129801,3000,2705,8115000,2020-12-31,2021-01-03,PEMA-PR1000
1008,2006612,PEMA023129801,22000,2706,59532000,2020-12-31,2021-01-03,PEMA-PR1000
1009,2004000,PEMA013901520,20000,1028,20560000,2020-01-01,2020-01-04,PEMA-PR1000
1010,2007302,PEMA013901520,20000,1420,28400000,2020-01-19,2020-01-22,PEMA-PR1000
1011,2006606,PEMA013901520,20000,1624,32480000,2020-01-26,2020-01-29,PEMA-PR1000
1012,2007200,PEMA013901520,20000,1916,38320000,2020-02-04,2020-02-07,PEMA-PR1000
1013,2005700,PEMA013901520,2000,2182,4364000,2020-02-11,2020-02-14,PEMA-PR1000
1014,2005800,PEMA013901520,18000,2183,39294000,2020-02-11,2020-02-14,PEMA-PR1000
1015,2004000,PEMA013901520,20000,1028,20560000,2020-02-22,2020-02-25,PEMA-PR1000
1047,2005700,PEMA013901520,2000,2182,4364000,2020-12-04,2020-12-07,PEMA-PR1000
1048,2005800,PEMA013901520,18000,2183,39294000,2020-12-04,2020-12-07,PEMA-PR1000
1049,2007400,PEMA013901520,20000,2557,51140000,2020-12-15,2020-12-18,PEMA-PR1000
1050,2007400,PEMA013901520,20000,2557,51140000,2020-12-25,2020-12-28,PEMA-PR1000
1051,2004100,PEMA033078017,5000,1029,5145000,2020-01-01,2020-01-04,PEMA-SR2000
1052,2004100,PEMA033078017,5000,1029,5145000,2020-02-22,2020-02-25,PEMA-SR2000
1062,2007200,PEMA033078017,5000,2712,13560000,2020-12-31,2021-01-03,PEMA-SR2000
1063,2004104,PEMA043080500,5000,1030,5150000,2020-01-01,2020-01-04,PEMA-SR2000
1064,2004200,PEMA043080500,2000,1031,2062000,2020-01-01,2020-01-04,PEMA-SR2000
1065,2006500,PEMA043080500,6000,2332,13992000,2020-02-15,2020-02-18,PEMA-SR2000
1066,2004104,PEMA043080500,5000,1030,5150000,2020-02-22,2020-02-25,PEMA-SR2000
1067,2004200,PEMA043080500,2000,1031,2062000,2020-02-22,2020-02-25,PEMA-SR2000
1080,2006500,PEMA043080500,6000,2332,13992000,2020-12-08,2020-12-11,PEMA-SR2000
1081,2004300,PEMA043062000,6000,1032,6192000,2020-01-01,2020-01-04,PEMA-SR2000
1084,2005900,PEMA043062000,6000,1829,10974000,2020-02-02,2020-02-05,PEMA-SR2000
1085,2002400,PEMA043062000,6000,1935,11610000,2020-02-04,2020-02-07,PEMA-SR2000
1088,2004300,PEMA043062000,6000,1032,6192000,2020-02-22,2020-02-25,PEMA-SR2000
1127,2004800,PEMA043062000,6000,2528,15168000,2020-12-15,2020-12-18,PEMA-SR2000
1129,2004800,PEMA043062000,6000,2528,15168000,2020-12-25,2020-12-28,PEMA-SR2000
1130,2004400,PEMA063030500,3000,1033,3099000,2020-01-01,2020-01-04,PEMA-SR3000F
1132,2005600,PEMA063030500,3000,1755,5265000,2020-01-31,2020-02-03,PEMA-SR3000F
1135,2004400,PEMA063030500,3000,1033,3099000,2020-02-22,2020-02-25,PEMA-SR3000F
1161,2004500,PEMA023030801,6000,1034,6204000,2020-01-01,2020-01-04,PEMA-SR3000F
1162,2004500,PEMA023030801,6000,1034,6204000,2020-02-22,2020-02-25,PEMA-SR3000F
1167,2004600,PEMA023058600,15000,1035,15525000,2020-01-02,2020-01-05,PEMA-500FR
1168,2002400,PEMA023058600,23000,1083,24909000,2020-01-03,2020-01-06,PEMA-500FR
1169,2002500,PEMA023058600,2000,1084,2168000,2020-01-03,2020-01-06,PEMA-500FR
1170,2002800,PEMA023058600,15000,1158,17370000,2020-01-05,2020-01-11,PEMA-500FR
1171,2007100,PEMA023058600,23000,1276,29348000,2020-01-14,2020-01-17,PEMA-500FR
1172,2007200,PEMA023058600,2000,1277,2554000,2020-01-14,2020-01-17,PEMA-500FR
1173,2003400,PEMA023058600,21000,1306,27426000,2020-01-15,2020-01-18,PEMA-500FR
1174,2007700,PEMA023058600,3000,1424,4272000,2020-01-20,2020-01-23,PEMA-500FR
1175,2007800,PEMA023058600,20000,1425,28500000,2020-01-20,2020-01-23,PEMA-500FR
1176,2001400,PEMA023058600,13000,1500,19500000,2020-01-22,2020-01-25,PEMA-500FR
1179,2007700,PEMA023058600,20000,1708,34160000,2020-01-29,2020-02-01,PEMA-500FR
1180,2002600,PEMA023058600,20000,1795,35900000,2020-02-02,2020-02-05,PEMA-500FR
1182,2004400,PEMA023058600,10000,1885,18850000,2020-02-04,2020-02-07,PEMA-500FR
1183,2004500,PEMA023058600,10000,1886,18860000,2020-02-04,2020-02-07,PEMA-500FR
1188,2001300,PEMA023058600,23000,2138,49174000,2020-02-09,2020-02-12,PEMA-500FR
1189,2006612,PEMA023058600,20000,2194,43880000,2020-02-12,2020-02-15,PEMA-500FR
1193,2004600,PEMA023058600,15000,1035,15525000,2020-02-23,2020-02-26,PEMA-500FR
1194,2002400,PEMA023058600,23000,1083,24909000,2020-02-24,2020-02-27,PEMA-500FR
1195,2002500,PEMA023058600,2000,1084,2168000,2020-02-24,2020-02-27,PEMA-500FR
1196,2002800,PEMA023058600,15000,1158,17370000,2020-02-26,2020-03-01,PEMA-500FR
1338,2001300,PEMA023058600,23000,2138,49174000,2020-12-02,2020-12-05,PEMA-500FR
1339,2006612,PEMA023058600,20000,2194,43880000,2020-12-05,2020-12-08,PEMA-500FR
1343,2007600,PEMA023058600,19000,2488,47272000,2020-12-15,2020-12-18,PEMA-500FR
1344,2007700,PEMA023058600,4000,2489,9956000,2020-12-15,2020-12-18,PEMA-500FR
1345,2007800,PEMA023058600,15000,2490,37350000,2020-12-15,2020-12-18,PEMA-500FR
1346,2003800,PEMA023058600,20000,2588,51760000,2020-12-19,2020-12-22,PEMA-500FR
1349,2007600,PEMA023058600,19000,2488,47272000,2020-12-25,2020-12-28,PEMA-500FR
1350,2007700,PEMA023058600,4000,2489,9956000,2020-12-25,2020-12-28,PEMA-500FR
1351,2007800,PEMA023058600,15000,2490,37350000,2020-12-25,2020-12-28,PEMA-500FR
1352,2003800,PEMA023058600,20000,2588,51760000,2020-12-29,2021-01-01,PEMA-500FR
1354,2004700,PEMA073050413,15000,1036,15540000,2020-01-02,2020-01-05,PEMA-580FX
1355,2005300,PEMA073050413,10000,1468,14680000,2020-01-21,2020-01-24,PEMA-580FX
1356,2005400,PEMA073050413,10000,1469,14690000,2020-01-21,2020-01-24,PEMA-580FX
1360,2004700,PEMA073050413,15000,1036,15540000,2020-02-23,2020-02-26,PEMA-580FX
1391,2004800,PEMA013099150,20000,1037,20740000,2020-01-02,2020-01-05,PEMA-580FX
1393,2004200,PEMA013099150,20000,1386,27720000,2020-01-19,2020-01-22,PEMA-580FX
1395,2004800,PEMA013099150,20000,1037,20740000,2020-02-23,2020-02-26,PEMA-580FX
1396,2005600,PEMA013099150,20000,1116,22320000,2020-02-25,2020-02-28,PEMA-580FX
1419,2004100,PEMA013099150,20000,2591,51820000,2020-12-19,2020-12-22,PEMA-580FX
1420,2004100,PEMA013099150,20000,2591,51820000,2020-12-29,2021-01-01,PEMA-580FX
1421,2004901,PEMA023123000,3000,1038,3114000,2020-01-02,2020-01-05,PEMA-CR1000
1422,2005000,PEMA023123000,7000,1039,7273000,2020-01-02,2020-01-05,PEMA-CR1000
1423,2004700,PEMA023123000,10000,1320,13200000,2020-01-17,2020-01-20,PEMA-CR1000
1424,2003600,PEMA023123000,7000,1592,11144000,2020-01-26,2020-01-29,PEMA-CR1000
1425,2003700,PEMA023123000,3000,1593,4779000,2020-01-26,2020-01-29,PEMA-CR1000
1426,2004600,PEMA023123000,10000,1887,18870000,2020-02-04,2020-02-07,PEMA-CR1000
1428,2004901,PEMA023123000,3000,1038,3114000,2020-02-23,2020-02-26,PEMA-CR1000
1429,2005000,PEMA023123000,7000,1039,7273000,2020-02-23,2020-02-26,PEMA-CR1000
1463,2005100,PEMA013046500,5000,1040,5200000,2020-01-02,2020-01-05,CSA4000
1464,2007500,PEMA013046500,10000,1280,12800000,2020-01-14,2020-01-17,CSA4000
1469,2004100,PEMA013046500,7000,2307,16149000,2020-02-15,2020-02-18,CSA4000
1470,2005100,PEMA013046500,5000,1040,5200000,2020-02-23,2020-02-26,CSA4000
1508,2004100,PEMA013046500,7000,2307,16149000,2020-12-08,2020-12-11,CSA4000
1511,2005200,PEMA023052200,10000,1041,10410000,2020-01-02,2020-01-05,PEMA-CSA5000
1512,2006700,PEMA023052200,10000,1556,15560000,2020-01-25,2020-01-28,PEMA-CSA5000
1513,2005200,PEMA023052200,10000,1041,10410000,2020-02-23,2020-02-26,PEMA-CSA5000
1527,2006100,PEMA023052200,10000,2541,25410000,2020-12-16,2020-12-19,PEMA-CSA5000
1528,2006100,PEMA023052200,10000,2541,25410000,2020-12-26,2020-12-29,PEMA-CSA5000
1529,2005300,PEMA553048200,10000,1042,10420000,2020-01-02,2020-01-05,CSA5000
1530,2002000,PEMA553048200,10000,1505,15050000,2020-01-22,2020-01-25,CSA5000
1532,2006700,PEMA553048200,10000,2053,20530000,2020-02-07,2020-02-10,CSA5000
1533,2004500,PEMA553048200,10000,2312,23120000,2020-02-15,2020-02-18,CSA5000
1534,2005300,PEMA553048200,10000,1042,10420000,2020-02-23,2020-02-26,CSA5000
1562,2004500,PEMA553048200,10000,2312,23120000,2020-12-08,2020-12-11,CSA5000
