,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,착공지수,출하량,예상중량,AE,ARE-580FX,CSA4000,CSA5000,PEMA-500FR,PEMA-580FX,PEMA-CR1000,PEMA-CSA5000,PEMA-HR1000,PEMA-HR1000S,PEMA-HR1500,PEMA-PCM2000,PEMA-PCM2000B,PEMA-PCR3000E,PEMA-PCR3000N,PEMA-PR1000,PEMA-PR2000,PEMA-SN400,PEMA-SP1000,PEMA-SPR,PEMA-SR2000,PEMA-SR2000A,PEMA-SR3000F,PEMA-SR5000F,PR1000,SRE-110,SRE-200
2022-01-11,185418.23779296875,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,30236.057285403655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,61191.097595214844,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,46343.98160870842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,22839.942626953125,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,6266.447849502816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-11,19514.940551757812,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,13988.661865636384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-11,6825.50830078125,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,10316.725803298032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,123398.38665771484,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,74900.47758916841,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,1696.7921752929688,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-9788.944937634711,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,23552.495239257812,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,6488.744851017378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,2211.187255859375,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,8118.289765964399,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-710.5014486890268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,58167.23553466797,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-4236.047404710429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,2181.2627563476562,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-1345.574662358602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,1324.879697080214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-11,5595.15234375,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,9208.234636967576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,5858.11572265625,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,9278.263400368907,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,5137.5426025390625,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,1467.6447209396065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-5283.503136309657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,826.1265750160846,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,6001.5540771484375,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,14086.517344422164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,969.9911491185036,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-903.524043168332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-121.34635400989843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-281.88565631419453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-130.3247715911243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,80.42859196297567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,328.04069812869733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,600.7164922409737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,203788.25408935547,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,52602.59354740658,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,65081.381103515625,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,48006.83287540613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,21780.46209716797,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,851.9340274947144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-18,40554.45166015625,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,40172.14566611201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-18,7491.0341796875,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,7368.693233423768,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,144347.59313964844,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,100954.84029491048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,36040.05389404297,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,35416.7588075758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
