,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명,수주월
5,2001300,PEMA033101400,20000,2493,49860000,2020-02-21,2020-02-24,PEMA-580FX,2020-02
45,2003300,PEMA023098200,20000,2441,48820000,2020-02-21,2020-02-24,PEMA-580FX,2020-02
104,2005300,PEMA023098200,20000,2675,53500000,2020-12-31,2021-01-03,PEMA-580FX,2020-12
107,2005700,SSA073046500,1000,1188,1188000,2020-01-11,2020-01-14,AE,2020-01
109,2005600,SSA073046500,2000,1471,2942000,2020-01-21,2020-01-24,AE,2020-01
115,2003800,SSA073046500,2000,2233,4466000,2020-02-13,2020-02-16,AE,2020-02
117,2003600,SSA073046500,2000,2373,4746000,2020-02-19,2020-02-22,AE,2020-02
119,2005900,SSA073046500,1000,1119,1119000,2020-02-25,2020-02-28,AE,2020-02
188,2003800,SSA073046500,2000,2233,4466000,2020-12-06,2020-12-09,AE,2020-12
190,2003600,SSA073046500,2000,2373,4746000,2020-12-12,2020-12-15,AE,2020-12
191,2004200,SSA073046500,2000,2593,5186000,2020-12-19,2020-12-22,AE,2020-12
193,2003600,SSA073046500,2000,2373,4746000,2020-12-22,2020-12-25,AE,2020-12
194,2004200,SSA073046500,2000,2593,5186000,2020-12-29,2021-01-01,AE,2020-12
195,2005500,SSA073046500,1000,2677,2677000,2020-12-31,2021-01-03,AE,2020-12
197,2004400,PEMA043099800,10000,2311,23110000,2020-02-15,2020-02-18,CSA5000,2020-02
207,2004400,PEMA043099800,10000,2311,23110000,2020-12-08,2020-12-11,CSA5000,2020-12
215,2002100,PEMA013085300,10000,1222,12220000,2020-01-12,2020-01-15,CSA5000,2020-01
216,2001400,PEMA013085300,10000,1429,14290000,2020-01-19,2020-01-22,CSA5000,2020-01
217,2004500,PEMA013085300,10000,1602,16020000,2020-01-26,2020-01-29,CSA5000,2020-01
218,2006612,PEMA013085300,10000,1839,18390000,2020-02-02,2020-02-05,CSA5000,2020-02
254,2002300,PEMA013085300,10000,2502,25020000,2020-12-15,2020-12-18,CSA5000,2020-12
255,2002300,PEMA013085300,10000,2502,25020000,2020-12-25,2020-12-28,CSA5000,2020-12
258,2002700,PEMA023100800,10000,1441,14410000,2020-01-20,2020-01-23,PEMA-HR1000,2020-01
281,2007600,PEMA013131100,10000,1565,15650000,2020-01-25,2020-01-28,PEMA-HR1000,2020-01
283,2004901,PEMA013131100,10000,2458,24580000,2020-02-21,2020-02-24,PEMA-HR1000,2020-02
306,2006000,PEMA013000210,7000,1404,9828000,2020-01-19,2020-01-22,PEMA-HR1000,2020-01
318,2003800,PEMA063041501,7000,1168,8176000,2020-01-05,2020-01-11,PEMA-HR1000,2020-01
319,2006700,PEMA063041501,10000,1201,12010000,2020-01-11,2020-01-14,PEMA-HR1000,2020-01
323,2005200,PEMA063041501,10000,1609,16090000,2020-01-26,2020-01-29,PEMA-HR1000,2020-01
324,2001400,PEMA063041501,10000,1713,17130000,2020-01-29,2020-02-01,PEMA-HR1000,2020-01
325,2003600,PEMA063041501,10000,1805,18050000,2020-02-02,2020-02-05,PEMA-HR1000,2020-02
329,2001500,PEMA063041501,10000,2211,22110000,2020-02-12,2020-02-15,PEMA-HR1000,2020-02
331,2004200,PEMA063041501,10000,2380,23800000,2020-02-19,2020-02-22,PEMA-HR1000,2020-02
333,2003800,PEMA063041501,7000,1168,8176000,2020-02-26,2020-03-01,PEMA-HR1000,2020-02
412,2001500,PEMA063041501,10000,2211,22110000,2020-12-05,2020-12-08,PEMA-HR1000,2020-12
414,2004200,PEMA063041501,10000,2380,23800000,2020-12-12,2020-12-15,PEMA-HR1000,2020-12
415,2002500,PEMA063041501,15000,2504,37560000,2020-12-15,2020-12-18,PEMA-HR1000,2020-12
417,2004200,PEMA063041501,10000,2380,23800000,2020-12-22,2020-12-25,PEMA-HR1000,2020-12
