원자재코드,2022-01-11,2022-01-18,2022-01-25,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29
PEMA013010900,24374.138391211392,38335.23369823561,36536.50303956429,42288.32757593872,72816.56113777604,36269.853639952045,40641.71263925872,33987.90163790245,48675.455156397424,43474.70563748882,69392.95569239548,50891.86060393996
PEMA013022400,20063.554571023335,31555.620180396312,30074.996326146047,34809.60657641483,59938.9001823673,29855.504063708584,33454.19666984544,27977.11690652043,40067.16607270571,35786.17282863394,57120.76181043564,41891.59863046608
PEMA013052200,9649.65412456117,20149.582667763443,21197.75549987249,17288.14417075627,32510.487494313944,23321.91992927491,17173.797509089054,20764.092757378494,22057.885947524654,30839.556828841265,27210.3450039031,28330.595196682538
PEMA013072100,9912.497385968847,14486.880192220458,23780.150570407717,12932.678082952283,27087.238595608538,23103.87113153213,20504.046930990608,16656.31819023174,22599.107930972146,23129.3749866064,23946.842619084437,32807.45084178853
PEMA013081906,20535.41364375809,31676.44260863899,35806.18045218178,33226.446740937216,59926.18188422699,35261.76340868052,36479.86488952085,30231.027992982104,42588.318155808374,39696.27981382851,56057.38148181885,49696.62800401417
PEMA013112900,29218.411893401277,50004.35330502187,54818.209628131954,48935.15988409774,89379.61061700393,56275.72620570942,51843.09864942141,49063.70454289147,62438.864474288755,67718.44731105724,80668.27793945395,75073.52807453499
PEMA013130400,1679.5261351641568,2454.5876737649282,4029.1949471454936,2191.2511037560344,4589.532120850617,3914.609394379198,3474.1076195366145,2822.1668694412583,3829.084732490297,3918.930645571184,4057.438450409655,5558.737518043903
PEMA023017400,3112.7217705042376,4549.169155377667,7467.441302042982,4061.1187122945175,8505.932863976475,7255.076077582781,6438.6794548745265,5230.415931364466,7096.570370882018,7263.084796458595,7519.785928092562,10302.193533441368
PEMA023031800,21539.586912037335,33143.990320085875,38215.42345434411,34536.46843641167,62670.15752853255,37602.48248321399,38557.1019260843,31918.44692956192,44877.76328198271,42039.50949679229,58483.17925097291,53020.45066283817
PEMA023038000,12893.162297610179,18843.0513756021,30930.786544253577,16821.504306500494,35232.308247729896,30051.15145085098,26669.566159309412,21664.834334410727,29394.60712975052,30084.324255834792,31147.602504311457,42672.57501351703
PEMA023126100,11788.310285320029,18540.455561621107,17670.517318725877,20452.3302079949,35217.00758503892,17541.5549812856,19655.96122532656,16437.91152835159,23541.401113472373,21026.11019072823,33561.21476738554,24613.343625422902
PEMA023132100,3313.016660352345,6649.8193725257215,7278.040801297698,5390.351649468444,9893.888550913032,8584.874747898732,6760.569993122681,7408.095314198714,8019.365834590752,11049.400743752594,11146.86004833218,10517.387506254006
PEMA033035307,15188.676530151846,23307.50564411823,27465.46089155491,24105.90420417186,44045.37050122394,27000.287908615508,27419.35888103186,22671.83420237194,31808.35632599595,29960.48741262075,40991.45921324471,38090.351160930964
PEMA043023200,21754.790799272418,34215.56799099168,32610.136506375937,37743.8457474815,64991.38672511728,32372.142374554336,36274.1829885572,30335.418547776117,43444.58569122629,38802.730624707554,61935.69634344786,45422.80687237136
PEMA043045700,12694.523274159617,17030.667374357996,23388.05121823316,20936.82348010195,32745.547905688847,21392.435465826675,22983.39050079885,18919.698682133858,20849.91649007299,25113.315958979038,30563.789034663983,28334.97970808476
PEMA043062007,13541.341744579064,17188.734174001616,24078.493055419014,23200.644963539686,33388.95497510435,21289.56811273881,24071.766364116345,19830.003235438628,19307.341321844717,26170.535824038154,31438.42721774907,27192.3544890273
PEMA043091500,13361.85098503497,20648.739516673813,22993.17082597562,21765.368686033555,39078.72543209286,22658.34362179433,23600.576855727326,19573.652615956875,27615.25251373278,25643.054093822557,36621.154407477865,31922.298912311497
PEMA053006900,20543.523593322538,35961.84156570696,35738.31479254837,36043.47519777017,64076.80017625641,37150.786217157445,35050.340470861855,34012.68787259588,43072.368006122924,46648.86853490494,58294.75286382648,48901.98561774117
PEMA313001100,15658.774139952206,27525.740110487066,27395.981763804433,27485.82118620815,48925.87562635258,28524.053703356338,26741.23371308265,26093.942634740182,32895.12858577872,35871.37585218408,44427.6318913092,37463.102220305664
SR11002,127072.86122037278,193372.24985101295,204166.2987601156,173971.4020403655,301208.88608191704,198287.3177401574,189723.3947383452,204201.942702316,279098.0997252872,267490.2878932269,299783.08850132267,266982.1660118533
SR13801,279.8371786473527,542.4011491370757,484.52127406637277,435.398158219469,783.1787609612469,502.6668931292756,602.3842871516216,503.74660668070914,770.5664109532536,695.3267240110139,803.5299920823621,856.2367364722897
SR15500,1633.7029566136914,2814.428746506072,2079.5293382399204,2236.6582921910135,2633.4430054985023,2116.208462404472,1533.6891996096133,3333.427697052362,4720.914936313318,3666.5941854890475,4545.566841512832,2609.1069782048457
SR16002,4008.4294607668267,7467.05736764887,7801.7953752426965,6603.0213359543795,12226.426309551583,7693.14396599831,8301.144607938273,7009.110706396084,8921.174687583554,10411.707291284785,11538.862470932942,11751.013164983533
SR16003,231.18642610162783,374.46726828366485,378.54827756166117,329.3116432333127,577.3473324442136,371.42871608272804,360.3258587308243,368.4238936522652,516.6139830786557,482.6788383493433,559.720483097553,495.2034898371816
SR16600,7350.02159812114,15691.604639512756,11580.326772705874,9828.41936707508,14427.109865352148,10936.843557763881,10385.595549723337,15166.74414244049,23127.620009088754,19851.936219146737,20867.139502579026,16087.773298693384
