월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2020-06,동수별,합계,합계,17550,17550,17550,0,0,0
2020-06,동수별,구조별,철근및철골조,15832,15832,15832,0,0,0
2020-06,동수별,구조별,조적조,303,303,303,0,0,0
2020-06,동수별,구조별,목조,977,977,977,0,0,0
2020-06,동수별,구조별,기타,438,438,438,0,0,0
2020-06,동수별,용도별,주거용,6514,6514,6514,0,0,0
2020-06,동수별,용도별,상업용,4552,4552,4552,0,0,0
2020-06,동수별,용도별,공업용,1215,1215,1215,0,0,0
2020-06,동수별,용도별,교육및사회,574,574,574,0,0,0
2020-06,동수별,용도별,기타,4695,4695,4695,0,0,0
2020-06,연면적별,합계,합계,10378334,10378334,10378334,0,0,0
2020-06,연면적별,구조별,철근및철골조,10243587,10243587,10243587,0,0,0
2020-06,연면적별,구조별,조적조,11684,11684,11684,0,0,0
2020-06,연면적별,구조별,목조,84403,84403,84403,0,0,0
2020-06,연면적별,구조별,기타,38660,38660,38660,0,0,0
2020-06,연면적별,용도별,주거용,3542850,3542850,3542850,0,0,0
2020-06,연면적별,용도별,상업용,2764685,2764685,2764685,0,0,0
2020-06,연면적별,용도별,공업용,1104429,1104429,1104429,0,0,0
2020-06,연면적별,용도별,교육및사회,512031,512031,512031,0,0,0
2020-06,연면적별,용도별,기타,2454339,2454339,2454339,0,0,0
2020-07,동수별,합계,합계,15921,15921,15921,0,0,0
2020-07,동수별,구조별,철근및철골조,14525,14525,14525,0,0,0
2020-07,동수별,구조별,조적조,312,312,312,0,0,0
2020-07,동수별,구조별,목조,776,776,776,0,0,0
2020-07,동수별,구조별,기타,308,308,308,0,0,0
2020-07,동수별,용도별,주거용,5714,5714,5714,0,0,0
2020-07,동수별,용도별,상업용,4134,4134,4134,0,0,0
2020-07,동수별,용도별,공업용,1188,1188,1188,0,0,0
2020-07,동수별,용도별,교육및사회,501,501,501,0,0,0
2020-07,동수별,용도별,기타,4384,4384,4384,0,0,0
2020-07,연면적별,합계,합계,10742804,10742804,10742804,0,0,0
2020-07,연면적별,구조별,철근및철골조,10647509,10647509,10647509,0,0,0
2020-07,연면적별,구조별,조적조,11376,11376,11376,0,0,0
2020-07,연면적별,구조별,목조,68959,68959,68959,0,0,0
2020-07,연면적별,구조별,기타,14960,14960,14960,0,0,0
2020-07,연면적별,용도별,주거용,3887264,3887264,3887264,0,0,0
2020-07,연면적별,용도별,상업용,2281864,2281864,2281864,0,0,0
2020-07,연면적별,용도별,공업용,1428120,1428120,1428120,0,0,0
2020-07,연면적별,용도별,교육및사회,530913,530913,530913,0,0,0
2020-07,연면적별,용도별,기타,2614643,2614643,2614643,0,0,0
2020-08,동수별,합계,합계,13575,13575,13575,0,0,0
2020-08,동수별,구조별,철근및철골조,12271,12271,12271,0,0,0
2020-08,동수별,구조별,조적조,250,250,250,0,0,0
2020-08,동수별,구조별,목조,724,724,724,0,0,0
2020-08,동수별,구조별,기타,330,330,330,0,0,0
2020-08,동수별,용도별,주거용,5158,5158,5158,0,0,0
2020-08,동수별,용도별,상업용,3422,3422,3422,0,0,0
2020-08,동수별,용도별,공업용,1277,1277,1277,0,0,0
2020-08,동수별,용도별,교육및사회,437,437,437,0,0,0
2020-08,동수별,용도별,기타,3281,3281,3281,0,0,0
2020-08,연면적별,합계,합계,8672910,8672910,8672910,0,0,0
2020-08,연면적별,구조별,철근및철골조,8590643,8590643,8590643,0,0,0
2020-08,연면적별,구조별,조적조,4943,4943,4943,0,0,0
2020-08,연면적별,구조별,목조,64840,64840,64840,0,0,0
2020-08,연면적별,구조별,기타,12484,12484,12484,0,0,0
2020-08,연면적별,용도별,주거용,2726009,2726009,2726009,0,0,0
2020-08,연면적별,용도별,상업용,1928606,1928606,1928606,0,0,0
2020-08,연면적별,용도별,공업용,1420360,1420360,1420360,0,0,0
2020-08,연면적별,용도별,교육및사회,363219,363219,363219,0,0,0
2020-08,연면적별,용도별,기타,2234716,2234716,2234716,0,0,0
2020-09,동수별,합계,합계,16906,16906,16906,0,0,0
2020-09,동수별,구조별,철근및철골조,15173,15173,15173,0,0,0
2020-09,동수별,구조별,조적조,368,368,368,0,0,0
2020-09,동수별,구조별,목조,1005,1005,1005,0,0,0
2020-09,동수별,구조별,기타,360,360,360,0,0,0
2020-09,동수별,용도별,주거용,6221,6221,6221,0,0,0
2020-09,동수별,용도별,상업용,4583,4583,4583,0,0,0
2020-09,동수별,용도별,공업용,1364,1364,1364,0,0,0
2020-09,동수별,용도별,교육및사회,478,478,478,0,0,0
2020-09,동수별,용도별,기타,4260,4260,4260,0,0,0
2020-09,연면적별,합계,합계,10904098,10904098,10904098,0,0,0
