,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자
0,2001102,PEMA033101400,15000,1000,15000000,2020-01-01,2020-01-04
1,2001200,PEMA023098200,20000,1001,20020000,2020-01-01,2020-01-04
2,2001300,SSA073046500,2000,1002,2004000,2020-01-01,2020-01-04
3,2001400,PEMA043099800,10000,1003,10030000,2020-01-01,2020-01-04
4,2001500,PEMA013120000,10000,1004,10040000,2020-01-01,2020-01-04
5,2001600,PEMA013085300,10000,1005,10050000,2020-01-01,2020-01-04
6,2001700,PEMA023100800,10000,1006,10060000,2020-01-01,2020-01-04
7,2001800,PEMA023100800,10000,1007,10070000,2020-01-01,2020-01-04
8,2002000,PEMA013131100,10000,1008,10080000,2020-01-01,2020-01-04
9,2002100,PEMA013000210,7000,1009,7063000,2020-01-01,2020-01-04
10,2002200,PEMA063041501,10000,1010,10100000,2020-01-01,2020-01-04
11,2002300,PEMA013121910,5000,1011,5055000,2020-01-01,2020-01-04
12,2002400,PEMA013078018,10000,1012,10120000,2020-01-01,2020-01-04
13,2002500,PEMA013060901,10000,1013,10130000,2020-01-01,2020-01-04
14,2002600,PEMA013046900,10000,1014,10140000,2020-01-01,2020-01-04
15,2002700,PEMA013058613,5000,1015,5075000,2020-01-01,2020-01-04
16,2002800,PEMA013125500,10000,1016,10160000,2020-01-01,2020-01-04
17,2002900,PEMA023046501,10000,1017,10170000,2020-01-01,2020-01-04
18,2003000,PEMA033046500,5000,1018,5090000,2020-01-01,2020-01-04
19,2003100,PEMA223048300,7000,1019,7133000,2020-01-01,2020-01-04
20,2003200,PEMA013105210,9000,1020,9180000,2020-01-01,2020-01-04
21,2003300,PEMA023080800,10000,1021,10210000,2020-01-01,2020-01-04
22,2003400,PEMA023092101,7000,1022,7154000,2020-01-01,2020-01-04
23,2003500,PEMA033030500,12000,1023,12276000,2020-01-01,2020-01-04
24,2003600,PEMA053046500,5000,1024,5120000,2020-01-01,2020-01-04
25,2003700,PCA021027605,12100,1025,12402500,2019-12-31,2020-01-03
26,2003800,PEMA023129801,3000,1026,3078000,2020-01-01,2020-01-04
27,2003900,PEMA023129801,22000,1027,22594000,2020-01-01,2020-01-04
28,2004000,PEMA013901520,20000,1028,20560000,2020-01-01,2020-01-04
29,2004100,PEMA033078017,5000,1029,5145000,2020-01-01,2020-01-04
30,2004104,PEMA043080500,5000,1030,5150000,2020-01-01,2020-01-04
31,2004200,PEMA043080500,2000,1031,2062000,2020-01-01,2020-01-04
32,2004300,PEMA043062000,6000,1032,6192000,2020-01-01,2020-01-04
33,2004400,PEMA063030500,3000,1033,3099000,2020-01-01,2020-01-04
34,2004500,PEMA023030801,6000,1034,6204000,2020-01-01,2020-01-04
35,2004600,PEMA023058600,15000,1035,15525000,2020-01-02,2020-01-05
36,2004700,PEMA073050413,15000,1036,15540000,2020-01-02,2020-01-05
37,2004800,PEMA013099150,20000,1037,20740000,2020-01-02,2020-01-05
38,2004901,PEMA023123000,3000,1038,3114000,2020-01-02,2020-01-05
39,2005000,PEMA023123000,7000,1039,7273000,2020-01-02,2020-01-05
40,2005100,PEMA013046500,5000,1040,5200000,2020-01-02,2020-01-05
41,2005200,PEMA023052200,10000,1041,10410000,2020-01-02,2020-01-05
42,2005300,PEMA553048200,10000,1042,10420000,2020-01-02,2020-01-05
43,2005400,PEMA013111300,10000,1043,10430000,2020-01-02,2020-01-05
44,2005500,PEMA023035315,8000,1044,8352000,2020-01-02,2020-01-05
45,2005600,PEMA023001000,10000,1045,10450000,2020-01-02,2020-01-05
46,2005700,PEMA013039505,7000,1046,7322000,2020-01-02,2020-01-05
47,2005800,PEMA013049304,10000,1047,10470000,2020-01-01,2020-01-04
48,2005900,PEMA013010100,10000,1048,10480000,2020-01-01,2020-01-04
49,2006000,PEMA013041507,7000,1049,7343000,2020-01-01,2020-01-04
50,2006100,PEMA013099140,3000,1050,3150000,2020-01-01,2020-01-04
51,2006200,PEMA013099140,7000,1051,7357000,2020-01-02,2020-01-05
52,2006300,PEMA033088300,10000,1052,10520000,2020-01-01,2020-01-04
53,2006400,PEMA623022500,10000,1053,10530000,2020-01-02,2020-01-05
54,2006500,PEMA043101200,10000,1054,10540000,2020-01-02,2020-01-05
55,2006600,PEMA013125010,5000,1055,5275000,2020-01-02,2020-01-05
56,2006606,PEMA153001100,5000,1056,5280000,2020-01-02,2020-01-05
57,2006609,PEMA033046500,10000,1057,10570000,2020-01-02,2020-01-05
58,2006612,PEMA013017400,5000,1058,5290000,2020-01-02,2020-01-05
59,2006700,PEMA013005900,10000,1059,10590000,2020-01-02,2020-01-05
60,2006800,PEMA013072100,8000,1060,8480000,2020-01-02,2020-01-05
61,2006900,PEMA013089230,10000,1061,10610000,2020-01-02,2020-01-05
62,2007000,PEMA023061900,8000,1062,8496000,2020-01-02,2020-01-05
63,2007100,PEMA033041500,10000,1063,10630000,2020-01-02,2020-01-05
64,2007200,PEMA043001100,10000,1064,10640000,2020-01-02,2020-01-05
65,2007302,PEMA213048300,8000,1065,8520000,2020-01-02,2020-01-05
66,2007400,PEMA023022400,10000,1066,10660000,2020-01-02,2020-01-05
67,2007500,PEMA053031200,10000,1067,10670000,2020-01-02,2020-01-05
68,2007600,PEMA033002600,4000,1068,4272000,2020-01-02,2020-01-05
69,2007700,PEMA043011800,10000,1069,10690000,2020-01-02,2020-01-05
70,2007800,PEMA063048100,2000,1070,2140000,2020-01-02,2020-01-05
71,2001102,PEMA013046101,4000,1071,4284000,2020-01-02,2020-01-05
72,2001200,PEMA013046101,4000,1072,4288000,2020-01-02,2020-01-05
73,2001300,TSN4012001214,10000,1073,10730000,2020-01-02,2020-01-05
74,2001400,TSN4012043602,10000,1074,10740000,2020-01-02,2020-01-05
75,2001500,PEMA043091500,2000,1075,2150000,2020-01-02,2020-01-05
76,2001600,PEMA043091500,10000,1076,10760000,2020-01-02,2020-01-05
77,2001700,PEMA043046101,3000,1077,3231000,2020-01-02,2020-01-05
78,2001800,PEMA043046101,3000,1078,3234000,2020-01-02,2020-01-05
79,2002000,PEMA023117801,5000,1079,5395000,2020-01-02,2020-01-05
80,2002100,PEMA013081906,3000,1080,3240000,2020-01-02,2020-01-05
81,2002200,PEMA023002600,5000,1081,5405000,2020-01-02,2020-01-05
82,2002300,PEMA033041501,5000,1082,5410000,2020-01-02,2020-01-05
83,2002400,PEMA023058600,23000,1083,24909000,2020-01-03,2020-01-06
84,2002500,PEMA023058600,2000,1084,2168000,2020-01-03,2020-01-06
85,2002600,PEMA033103000,15000,1085,16275000,2020-01-03,2020-01-06
86,2002700,PEMA033030400,7000,1086,7602000,2020-01-03,2020-01-06
87,2002800,PEMA823048300,10000,1087,10870000,2020-01-03,2020-01-06
88,2002900,PEMA103048200,10000,1088,10880000,2020-01-03,2020-01-06
89,2003000,PEMA023091600,5000,1089,5445000,2020-01-03,2020-01-06
90,2003100,PEMA033035309,6000,1090,6540000,2020-01-03,2020-01-06
91,2003200,PEMA013013010,8000,1091,8728000,2020-01-03,2020-01-06
92,2003300,PEMA033079200,10000,1092,10920000,2020-01-03,2020-01-06
93,2003400,PEMA013060100,10000,1093,10930000,2020-01-03,2020-01-06
94,2003500,PEMA013122400,8000,1094,8752000,2020-01-03,2020-01-06
95,2003600,PEMA013060100,10000,1095,10950000,2020-01-03,2020-01-06
96,2003700,PEMA013023016,5000,1096,5480000,2020-01-03,2020-01-06
97,2003800,PEMA013118500,10000,1097,10970000,2020-01-03,2020-01-06
98,2003900,PEMA013059605,10000,1098,10980000,2020-01-03,2020-01-06
99,2004000,PEMA013068400,5000,1099,5495000,2020-01-03,2020-01-06
100,2004100,PEMA043030401,8000,1100,8800000,2020-01-03,2020-01-06
101,2004104,PEMA013082100,10000,1101,11010000,2020-01-03,2020-01-06
102,2004200,PEMA013002500,15000,1102,16530000,2020-01-03,2020-01-06
103,2004300,PEMA013111900,8000,1103,8824000,2020-01-03,2020-01-06
104,2004400,PEMA033021700,10000,1104,11040000,2020-01-03,2020-01-06
105,2004500,PEMA023125200,8000,1105,8840000,2020-01-03,2020-01-06
106,2004600,PEMA023125200,8000,1106,8848000,2020-01-03,2020-01-06
107,2004700,PEMA023026300,10000,1107,11070000,2020-01-03,2020-01-06
108,2004800,PEMA033014200,10000,1108,11080000,2020-01-03,2020-01-06
109,2004901,PEMA033014200,10000,1109,11090000,2020-01-03,2020-01-06
110,2005000,PEMA023041503,10000,1110,11100000,2020-01-03,2020-01-06
111,2005100,PEMA043049101,8000,1111,8888000,2020-01-03,2020-01-06
112,2005200,PEMA013901600,10000,1112,11120000,2020-01-03,2020-01-06
113,2005300,PEMA013024804,20000,1113,22260000,2020-01-03,2020-01-06
114,2005400,PEMA033082100,10000,1114,11140000,2020-01-03,2020-01-06
115,2005500,PEMA013035700,10000,1115,11150000,2020-01-03,2020-01-06
116,2005600,PEMA013099150,20000,1116,22320000,2020-01-04,2020-01-07
117,2005700,SSA013035307,1000,1117,1117000,2020-01-03,2020-01-06
118,2005800,SSA013082500,10000,1118,11180000,2020-01-03,2020-01-06
119,2005900,SSA073046500,1000,1119,1119000,2020-01-04,2020-01-07
120,2006000,PEMA033035307,8000,1120,8960000,2020-01-03,2020-01-06
121,2006100,PEMA033023004,7000,1121,7847000,2020-01-04,2020-01-07
122,2006200,PEMA013082500,10000,1122,11220000,2020-01-03,2020-01-06
123,2006300,PEMA023077800,7000,1123,7861000,2020-01-04,2020-01-07
124,2006400,PEMA033009000,10000,1124,11240000,2020-01-04,2020-01-07
125,2006500,PEMA023058622,5000,1125,5625000,2020-01-04,2020-01-07
126,2006600,PEMA043023200,8000,1126,9008000,2020-01-04,2020-01-07
127,2006606,PEMA013112900,5000,1127,5635000,2020-01-04,2020-01-07
128,2006609,PEMA053049403,5000,1128,5640000,2020-01-04,2020-01-07
129,2006612,PEMA013061000,10000,1129,11290000,2020-01-04,2020-01-07
130,2006700,PEMA013063800,10000,1130,11300000,2020-01-04,2020-01-07
131,2006800,PEMA013108400,8000,1131,9048000,2020-01-04,2020-01-07
132,2006900,PEMA033088300,5000,1132,5660000,2020-01-04,2020-01-07
133,2007000,PEMA033088300,7000,1133,7931000,2020-01-04,2020-01-07
134,2007100,PEMA13031400,10000,1134,11340000,2020-01-04,2020-01-07
135,2007200,PEMA013041507,7000,1135,7945000,2020-01-04,2020-01-07
136,2007302,PEMA013103100,7000,1136,7952000,2020-01-05,2020-01-11
137,2007400,PEMA053046500,7000,1137,7959000,2020-01-03,2020-01-06
138,2007500,PEMA023110500,3000,1138,3414000,2020-01-04,2020-01-07
139,2007600,PEMA023110500,3000,1139,3417000,2020-01-04,2020-01-07
140,2007700,PEMA133057600,10000,1140,11400000,2020-01-04,2020-01-07
141,2007800,PEMA053038600,5000,1141,5705000,2020-01-04,2020-01-07
142,2001102,PEMA033006900,10000,1142,11420000,2020-01-04,2020-01-07
143,2001200,PEMA013007300,10000,1143,11430000,2020-01-04,2020-01-07
144,2001300,PEMA013028200,10000,1144,11440000,2020-01-04,2020-01-07
145,2001400,PEMA013071300,5000,1145,5725000,2020-01-04,2020-01-07
146,2001500,PEMA013120100,10000,1146,11460000,2020-01-05,2020-01-11
147,2001600,PEMA063061300,5000,1147,5735000,2020-01-04,2020-01-07
148,2001700,PEMA043031800,7000,1148,8036000,2020-01-04,2020-01-07
149,2001800,PEMA073061300,5000,1149,5745000,2020-01-04,2020-01-07
150,2002000,PEMA023033303,15000,1150,17250000,2020-01-04,2020-01-07
151,2002100,TSN4012001730,5000,1151,5755000,2020-01-04,2020-01-07
152,2002200,PEMA043110500,1000,1152,1152000,2020-01-04,2020-01-07
153,2002300,PEMA043110500,1000,1153,1153000,2020-01-04,2020-01-07
154,2002400,PEMA023041301,5000,1154,5770000,2020-01-04,2020-01-07
155,2002500,PEMA033072700,5000,1155,5775000,2020-01-04,2020-01-07
156,2002600,PEMA013038600,4000,1156,4624000,2020-01-04,2020-01-07
157,2002700,PEMA023106100,10000,1157,11570000,2020-01-04,2020-01-07
