원자재코드,2022-01-04,2022-01-11,2022-01-18,2022-01-25,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22
SR11002,247677.94238591444,384922.289154119,419137.88741194806,372598.35282206483,655814.3749888099,412593.1007118463,403789.7513695741,390508.24170305324,527304.9188337491,516930.46661802323,629260.9872292985,561139.3325106504
SR13801,419.1522831077808,764.3272774538019,729.2971419317226,666.3605590153451,1194.4511016116364,746.9423518521644,848.0000546284576,717.6309095982581,1056.9490946683768,980.9256958712341,1185.9117791201772,1191.718561911925
SR15500,1633.7029566136914,2814.428746506072,2079.5293382399204,2236.6582921910135,2633.4430054985023,2116.208462404472,1533.6891996096133,3333.427697052362,4720.914936313318,3666.5941854890475,4545.566841512832,2609.1069782048457
SR16002,9839.988304649592,16616.82098327082,18175.286512657447,16123.865614843795,29315.994041594262,17968.649872549824,18668.640817575717,15870.97108168179,20953.8011677353,22202.704437547756,27391.733411652793,25995.206488043288
SR16003,485.2668757278934,775.0653902487882,834.7000194427255,744.7965117440792,1322.439709699154,823.9706168504805,812.7038849317914,758.8745440811979,1040.1365656134649,1004.5575575662253,1248.735997377314,1119.2177383853152
SR16600,11117.285164374141,21650.479670472043,18168.45906901512,16090.503392715686,25509.332786801715,17477.781804751343,17008.734270878813,20913.125493464144,30791.78352519004,27507.30045536743,31148.56994426805,25068.297928235683
SR18520,336.67783027850345,969.005842532604,797.5728846412135,601.2659294072001,1483.5578349983678,697.6435296259745,934.0888874820146,1037.3953059397952,965.8816026270906,1217.7940913496213,942.1272501561408,1676.854352513372
SR34307,1342.5071110233746,1330.7702958258562,2436.4715670896467,2429.280528493231,2691.65745217993,1914.7668046611616,2389.126473383659,1956.0933195508433,1029.7344685717394,2595.3207818731735,2558.431271137271,2136.21912515151
SR34311,2749.3512914448634,4112.153762778427,4456.298054859831,4824.799967115612,7794.154873531605,4265.248095371491,4672.822286068395,4039.4305258455183,4861.930097311261,5571.7570145002355,7382.9726076238185,5860.714252254387
SR34364,12491.21785392665,21467.969357162554,22738.13346893935,22224.965759889226,38177.503187921946,24105.075524777138,23759.343363286127,24322.86844418995,24994.611941036164,28462.847392640768,31588.988411157727,34333.7913052519
SR35210,14336.716334917264,23093.400852169263,29396.066273271816,23249.979530382694,39849.350252156786,22758.700463451096,23203.860867104086,27926.44840965817,28559.47259875724,37448.143502280145,37619.46931334268,34121.67786497943
SR35211,28434.205945762005,41820.15526137763,47450.37547899582,42651.195205781034,73105.71192393669,46733.19868514307,43089.54507761069,42024.13321118835,55422.253363375414,55004.71123900496,68288.98055562064,60445.830556047935
SR35217,9808.982496315242,16650.629131603055,17348.56045564072,17025.506724685012,30269.9853487429,17196.239108862334,17527.46995548121,23171.13332519392,20400.13756769161,24328.375404867347,29890.560754643993,28016.240717086224
SR35218,58883.321120466426,127787.50170274299,101905.13084440192,92315.9049693697,170185.80875551002,104211.13978155584,148745.02648830772,109841.71236551524,184730.86964433396,155628.48575646826,163044.58053950116,210542.24195373495
SR35221,29877.771715240007,50570.92514483223,47269.17719011433,48171.29346818189,74952.90282457428,45609.07733766323,42680.105053109655,47385.00846256476,63890.03966592128,63504.02045310692,75105.75314495733,68077.52085108709
SR35224,39253.170418007394,77620.81881196208,72950.01133894606,63007.36583421304,122448.60946447299,75043.91555113441,95702.88869915082,72244.10664626,110598.0696626837,97883.20947350765,110687.89345533082,130266.50985975869
SR35225,32837.44853669715,55756.582295156055,53869.56263647384,53321.383391599025,84306.043794872,51981.33571022453,48769.20007979068,52564.52692363855,69877.77739830757,72470.87076513671,84590.3196786007,78510.85084770924
SR35228,32089.113394245072,48363.05185110611,53833.97478728415,58757.425900710085,85616.85324363601,53383.517797602086,50301.23273824689,48047.92188466149,63370.639081777066,64240.60182731375,94313.39314370038,72597.28308384863
SR35500,17464.88897855731,29559.274226897585,32505.26951839452,28878.560178280764,55587.11981141295,34740.077967894926,33944.61844633615,32004.535557511514,38746.35301162266,39579.369825671216,47135.89958080427,48200.630396761655
SR35556,9370.110299920947,17040.83274969566,17299.31382765144,16276.570321856292,31882.716405860785,18753.649178617805,19033.60198600317,17417.730584531895,21136.142693493057,22383.122032148545,26223.170192105168,26860.97546885613
SR35755,575.462031385208,2234.6971703830554,1125.454292736004,685.4669018557389,2204.7544757638916,1388.820904967209,3551.9221817448106,1659.9070638119754,4176.185767023564,2341.686758776051,1846.0351659027706,4607.021580582321
SR35758,12573.679134570293,17266.82854056378,18829.741597147542,17246.239141492013,27606.595840282,19024.51836077631,16573.57666631006,17834.03531547208,24524.421381388413,22093.65094478698,28841.192048448604,22874.740851089657
SR35760,0.0,0.0,2.4421481356272423,0.0,9.62320916217021,0.0,9.40114487337246,0.0,12.918735080950501,25.452035343084546,18.549888230125102,15.622054641082716
SR35761,0.0,0.0,2.4421481356272423,0.0,9.62320916217021,0.0,9.40114487337246,0.0,12.918735080950501,25.452035343084546,18.549888230125102,15.622054641082716
SR35765,0.0,0.0,35.81817265586622,0.0,141.1404010451631,0.0,137.88345814279606,0.0,189.474781187274,373.29651836524,272.06502737516814,229.12346806921317
SR35903,11292.004837284123,19678.463581281736,21057.15503086515,18845.928523311286,34889.36564979109,21341.871684855287,21528.63835189697,19128.163930073293,24858.162688331708,26747.957334778774,32111.647974516796,30760.099820024232
SR35904,22242.06509785044,38900.649797446626,41300.15050207575,35985.22935619329,66917.19075425717,42452.10180490624,48084.38533208321,38593.05122158685,53005.25078390419,53201.76957025018,62711.62758745105,65139.34315096744
SR35905,371.65107880105535,560.0516745173118,688.8679489348714,609.2900985163446,1089.3561735005533,742.1728677252337,588.8391949837599,699.9137268365462,719.031811978811,808.5592615815476,911.1128610022633,885.027276152845
SR38117,309.5194595619118,464.0725887684428,523.0381786330795,462.16008413997645,811.0155037566982,513.3945341775806,480.281871405915,488.6908832630087,633.6643210586218,639.2608595180297,786.6274335568164,693.5899055197797
SR47093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.161238098144533,37.49340667724609,44.14752044677735
SR68222,446.73080753007605,672.4006111430583,746.0076307494016,661.3988049234549,1148.1211871686053,743.8079520418871,686.1426884555444,677.6356246364453,922.3124231046538,873.0402376854072,1089.3686305714737,960.7223340162674
SSA043031400,7879.437404778886,12236.860649958768,13070.843223118907,13068.338261048297,23182.79608825667,12904.466874035355,13699.634965367699,11387.444196778386,16131.20899554491,14823.468243238862,21829.223739372897,18161.814758926554
TSN4012039104,842.923932253231,1770.6125699860902,1308.5138671753004,921.0598158131264,6887.990644450507,3363.1097283733798,6559.462518957111,2384.0879820026507,3042.4481626511256,2105.7255106663793,2487.7389463958466,6100.544783844999
TSN4012043602,1748.8048386996495,3673.4700622118053,2714.7590605296687,1910.9124809400964,14290.43702168155,6977.406075463444,13608.843400325957,4946.2406265615155,6312.133117533455,4368.725125863858,5161.284121153209,12656.73191669087
TSN4012057700,996.8187580588003,2093.8779354607295,1547.4126645019114,1089.220114135855,8145.549102358485,3977.1214630141635,7757.040738185797,2819.3571571400644,3597.91587699407,2490.1733217423994,2941.9319490573293,7214.337192513797
PEMA043062007,10863.258477313571,17233.360347371086,20289.20898537658,18501.51399664412,31198.8003817732,19992.13828692111,19271.83375907651,17881.4473122352,20500.531320102855,24563.955323501523,28313.57683891929,25988.13553217791
