제품코드,product_cnt,제품명,약식품번(제품번호와같이키값으로사용)
PEMA033035303,32,CSA5000,808906
PEMA023058600,31,PEMA-500FR,773206
PEMA033088300,26,PEMA-HR1000,804357
PEMA033046500,21,PEMA-HR1000,766284
PEMA023129801,20,PEMA-PR1000,808625
PEMA063061300,18,PEMA-PCM2000,807627
PEMA013120100,18,PEMA-HR1500,807303
PEMA073061300,18,PEMA-PCM2000B,807830
PEMA063041501,17,PEMA-HR1000,804371
PEMA053046500,16,PEMA-HR1500,805030
PEMA033035307,15,CSA5000,808518
PEMA013122400,15,PEMA-HR1000,807697
SSA073046500,15,AE,806264
PEMA033041500,14,PEMA-HR1000,804207
PEMA023024801,13,PEMA-HR1000,765783
PEMA023045801,12,PEMA-PR2000,806163
PEMA023098200,11,PEMA-580FX,805334
PEMA13031400,11,PEMA-HR1000,804734
PEMA013041507,11,PEMA-HR1000,807955
PEMA013024804,11,PEMA-PR1000,806064
PEMA033009000,11,PEMA-HR1000,774090
PEMA023024804,10,PEMA-PR2000,806676
SSA013035303,10,AE,808907
PEMA013105210,10,PEMA-HR1000,805852
PEMA023001000,10,CSA5000,765231
PEMA023035315,9,CSA5000,808272
PEMA043041502,9,PEMA-HR1000,804178
PEMA023901510,8,PEMA-PR2000,805213
PEMA013129802,8,PEMA-PR1000,808627
PEMA043090700,8,PEMA-580FX,808610
PEMA013050400,8,PEMA-HR1000,766410
PEMA043101200,8,PEMA-HR1000,805225
PEMA013046500,8,CSA4000,765089
PEMA033049301,8,PEMA-SR2000,808282
PEMA043062000,8,PEMA-SR2000,805798
PEMA013033302,8,PEMA-PR1000,804106
PEMA023041503,8,PEMA-HR1000,766196
PEMA013072100,8,PEMA-HR1000,804920
SSA013035307,8,AE,808519
PEMA013129800,8,PEMA-PR1000,808622
PEMA033035309,8,CSA5000,808283
PEMA013060100,8,PEMA-HR1000,766701
PEMA013085300,7,CSA5000,765521
PEMA023007400,7,CSA5000,806231
PEMA023033303,7,PEMA-PR1000,804500
PEMA013901520,7,PEMA-PR1000,805211
PEMA023123000,7,PEMA-CR1000,807826
PEMA013901600,7,PEMA-PR1000,805209
PEMA013117801,6,PEMA-HR1000,807575
PEMA013118500,6,PEMA-HR1000,807027
PEMA013123501,6,PEMA-PCR3000E,808755
PEMA073050413,6,PEMA-580FX,806923
PEMA093001100,6,PEMA-HR1000,780326
PEMA143057600,6,PEMA-HR1500,781450
PEMA043043200,6,PEMA-SR2000A,806677
PEMA033103000,6,PEMA-580FX,808469
PEMA033101400,6,PEMA-580FX,808193
PEMA063069401,6,CSA5000,807458
PEMA553048200,6,CSA5000,806024
PEMA023110500,6,PEMA-HR1500,805953
PEMA013072700,6,CSA5000,779940
PEMA063009000,6,PEMA-SR2000,808400
PEMA033014200,6,PEMA-HR1500,808213
PEMA013128300,6,PEMA-HR1000,808438
PEMA063030500,5,PEMA-SR3000F,783316
PEMA013061000,5,PEMA-HR1000,766719
PEMA043091500,5,PEMA-SR2000,807310
PEMA023109400,5,PEMA-HR1000,806904
PEMA023041301,5,PEMA-SR2000,806583
PEMA013111300,5,CSA5000,806021
PEMA013046900,5,PEMA-HR1000,780553
PEMA043062007,5,PEMA-SR2000,808828
PEMA023104400,5,PEMA-HR1500,808195
PEMA623022500,5,PEMA-HR1000,805536
PEMA013013010,5,PEMA-HR1000,805956
PEMA053049403,5,PEMA-HR1000,806822
PEMA353048300,5,PEMA-HR1000,766760
PEMA033040000,5,PEMA-580FX,808611
PEMA033030500,5,PEMA-HR1500,781193
PEMA063023200,5,PEMA-SR2000A,808797
PEMA033041501,5,PEMA-SR3000F,768618
PEMA013049402,5,PEMA-PR1000,804639
PEMA013107101,5,PEMA-580FX,808309
PEMA013112900,5,PEMA-HR1000,806283
PEMA043031800,5,PEMA-PCM2000,808698
PEMA013099150,5,PEMA-580FX,806511
PEMA013125010,5,PEMA-HR1000,808875
PEMA013121600,4,PEMA-HR1000,807550
PEMA043046101,4,PEMA-SR2000,807408
PEMA013119500,4,PEMA-HR1000,807176
PEMA023099800,4,PEMA-HR1000,805009
PEMA043030401,4,PEMA-HR1000,804245
PEMA013020300,4,CSA5000,773732
PEMA033030400,4,CSA4000,804856
PEMA013099140,4,PEMA-HR1000,806455
PEMA033002600,4,PEMA-HR1500,804300
PEMA013104200,4,PEMA-HR1500,805450
PEMA013049303,4,PEMA-HR1000,804133
PEMA013046101,4,PEMA-HR1500,805361
PEMA023105100,4,PEMA-HR1000,805829
PEMA013032302,4,PEMA-HR1000,766381
PEMA013032200,4,PEMA-HR1000,774356
PEMA253048300,4,PEMA-HR1000,766090
PEMA013030401,4,PEMA-HR1000,765901
PEMA013131100,4,PEMA-HR1000,808788
PEMA013089230,4,PEMA-HR1000,806598
PEMA053062006,4,PEMA-SR2000,808693
SSA013082500,4,AE,804256
PEMA013039505,4,PEMA-HR1000,804832
PEMA013103400,4,PEMA-HR1000,805345
PEMA013037300,4,PEMA-HR1000,766022
PEMA033074100,4,PEMA-580FX,806762
PEMA013082500,4,PEMA-HR1000,804255
PEMA003039101,4,CSA5000,804589
PEMA053031200,4,PEMA-HR1500,805425
PEMA013041301,4,PEMA-HR1500,775164
PEMA023125200,4,PEMA-HR1500,808023
PEMA043099300,4,CSA5000,807857
PEMA013048900,4,PEMA-HR1000,805751
PEMA013116420,4,PEMA-SR2000,808422
PEMA063048100,4,PEMA-HR1500,774840
PEMA013043200,4,PEMA-HR1000,766225
PEMA013123000,4,PEMA-SR2000,807806
PEMA013010900,4,PEMA-HR1000,765708
PEMA043110500,4,PEMA-SR2000,807387
PEMA023100800,4,PEMA-HR1000,805105
PEMA013126200,4,PEMA-580FX,808112
PEMA023035314,4,CSA5000,808124
PEMA013082100,4,PEMA-HR1500,804749
PEMA033006900,4,PEMA-HR1500,781003
PEMA023035303,4,PEMA-SR3000F,768491
PEMA043080115,4,PEMA-SR2000,808640
PEMA013125500,4,PEMA-HR1000,808031
PEMA013128700,4,CSA5000,808458
PEMA043042900,4,CSA5000,806887
PEMA053041502,4,PEMA-SR2000,808158
PEMA033109400,4,PEMA-SR3000F,808592
PEMA023027100,3,PEMA-SR3000F,807577
PEMA023052200,3,PEMA-CSA5000,805080
PEMA013023005,3,PEMA-HR1000,804819
PEMA013103100,3,PEMA-HR1000,805315
PEMA033072700,3,PEMA-SR2000,782823
PEMA03087900,3,PEMA-SR2000,805419
PEMA023126700,3,PEMA-HR1500,808281
PEMA053114500,3,PEMA-PCM2000,808725
PEMA033028900,3,PEMA-HR1000,808842
PEMA023083500,3,PEMA-HR1000,804871
PEMA373048200,3,PEMA-SR2000,782743
PEMA013130300,3,CSA5000,808699
PEMA213048300,3,PEMA-HR1000,766049
PEMA023024000,3,CSA5000,808766
PEMA013111900,3,PEMA-HR1500,806132
PEMA023077800,3,PEMA-HR1000,806974
PEMA013028200,3,PEMA-HR1500,775041
PEMA313001100,3,PEMA-HR1500,808250
PEMA013118900,3,PEMA-580FX,807077
PEMA013052401,3,PEMA-HR1000,805158
PEMA023091600,3,CSA5000,808238
PEMA013070800,3,CSA5000,773960
PEMA043023200,3,PEMA-HR1000,806008
PEMA013114400,3,PEMA-HR1000,806519
PEMA013042200,3,PEMA-SR3000F,783391
PEMA033043200,3,PEMA-SR2000,806499
PEMA043037801,3,PEMA-SR2000,808950
PEMA013026702,3,PEMA-HR1000,765839
PEMA013087700,3,PEMA-HR1000,780051
PEMA033082100,3,PEMA-SR2000,808153
PEMA053054200,3,CSA5000,806565
PEMA013055600,3,PEMA-HR1000,774516
PEMA013081906,3,PEMA-SR3000F,808538
PEMA013068400,3,PEMA-HR1000,766823
PEMA023106100,3,PEMA-SR3000F,805633
PEMA013121910,3,PEMA-HR1000,808337
PEMA043001100,3,PEMA-HR1000,780238
SSA013048200,3,AE,783990
PEMA103048200,3,CSA5000,780001
PEMA023054400,3,CSA5000,808957
PEMA023046501,3,PEMA-HR1000,804208
PEMA023106900,3,CSA5000,806142
PEMA043015600,3,CSA5000,807290
PEMA033120700,3,CSA5000,808138
PEMA013023013,3,PEMA-HR1000,805837
PEMA013017200,3,PEMA-HR1000,804138
PEMA023076910,3,CSA5000,808890
PEMA013108400,3,PEMA-HR1000,805857
PEMA023032100,3,PEMA-HR1500,805422
PEMA023111400,3,PEMA-HR1000,806030
PEMA013035322,3,PEMA-HR1500,806782
PEMA033063700,3,PEMA-HR1000,805758
PEMA023087900,3,PEMA-HR1500,805144
PEMA013019701,3,PEMA-HR1000,807755
PEMA013060901,3,PEMA-HR1000,807817
PEMA043080500,3,PEMA-SR2000,808868
PEMA053021700,3,PEMA-SR3000F,783201
