,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,연면적별,13수주량
1,1158600,10.299548872180452,2.199248120300752,65.2018045112782,0.0,0.75,2703566.4193548383,1763550
2,757000,9.61624060150376,0.12045112781954885,49.083909774436094,0.0,0.75,2445649.2666666666,1926070
3,1464000,9.465413533834587,1.045563909774436,56.94451127819549,0.0,0.75,2445649.2666666666,1636000
4,1016800,11.425413533834586,4.953383458646617,67.62992481203007,0.0,0.75,2445649.2666666666,1984640
5,1392050,10.853533834586466,0.05744360902255636,50.09067669172932,0.0,0.75,2445649.2666666666,1610600
6,2043000,17.898496240601506,2.367368421052632,71.836992481203,0.0,0.5,2472840.159139785,1134000
7,1125570,16.810827067669173,5.687368421052631,68.00421052631579,0.0,0.5,2483716.5161290322,1719000
8,1834100,16.95172932330827,6.3739849624060145,74.65428571428572,0.0,0.5,2483716.5161290322,1737800
9,1121600,16.922706766917294,0.7339849624060151,75.63924812030075,0.0,0.5,2483716.5161290322,1801550
10,1667000,19.34796992481203,0.45984962406015034,65.8996992481203,0.0,0.5,2457767.959139785,1940000
11,1664800,22.96676691729323,0.25052631578947365,69.8945864661654,0.0,0.5,2392896.5666666664,1328070
12,1830000,23.638496240601505,10.001954887218046,76.7421052631579,0.0,0.5,2392896.5666666664,1413540
13,1763550,22.360451127819548,3.5375939849624056,75.476992481203,0.0,0.5,2392896.5666666664,1489000
14,1926070,22.08842105263158,13.562556390977443,83.83593984962407,0.0,0.5,2392896.5666666664,933600
15,1636000,21.777142857142856,2.437142857142857,81.87714285714286,0.0,0.5,2406845.0,1218000
16,1984640,22.125563909774435,21.927218045112784,86.1360902255639,0.0,0.5,2406845.0,1396000
17,1610600,22.911278195488723,3.23984962406015,83.273984962406,0.0,0.5,2406845.0,1544800
18,1134000,22.365714285714287,21.854135338345863,91.18165413533835,0.0,0.5,2406845.0,1578550
19,1719000,25.48812030075188,18.7393984962406,88.05834586466166,0.0,0.5,2140612.870967742,1827500
20,1737800,25.322857142857142,33.998496240601504,91.22390977443611,0.0,0.5,1940938.7741935481,1195570
21,1801550,27.57759398496241,2.004210526315789,82.59157894736843,0.0,0.5,1940938.7741935481,1475540
22,1940000,26.530375939849623,1.7210526315789474,80.60000000000001,0.0,0.5,1940938.7741935481,2257100
23,1328070,26.53684210526316,9.94421052631579,84.80496240601504,0.0,0.5,2022857.5731182795,580600
24,1413540,22.205714285714286,26.380300751879698,82.8818045112782,0.0,0.5,2514370.3666666667,1499000
25,1489000,21.049624060150375,4.244060150375939,84.1406015037594,0.0,0.5,2514370.3666666667,1620800
