원자재코드,현재재고량
SR11002,248068
SR13801,414
SR15500,1584
SR16002,9620
SR16003,480
SR16600,10804
SR18520,345
SR34307,1303
SR34311,2675
SR34364,12787
SR35210,14111
SR35211,27688
SR35217,9822
SR35218,59742
SR35221,29384
SR35224,39641
SR35225,32868
SR35228,32673
SR35500,17095
SR35556,9450
SR35755,571
SR35758,12609
SR35760,0
SR35761,0
SR35765,0
SR35903,11219
SR35904,21858
SR35905,366
SR38117,305
SR47093,0
SR68222,451
SSA043031400,8021
TSN4012039104,827
TSN4012043602,1759
TSN4012057700,990
PEMA043062007,10915
