,수주량
2020-01-01,4808400.0
2020-02-01,6317320.0
2020-03-01,7712350.0
2020-04-01,7157310.0
2020-05-01,7712350.0
2020-06-01,5784210.0
2020-07-01,6645350.0
2020-08-01,6182310.0
2020-09-01,7566350.0
2020-10-01,7057310.0
2020-11-01,7567350.0
2020-12-01,6274150.0
2021-01-01,4630400.0
2021-02-01,6145320.0
2021-03-01,7712350.0
2021-04-01,7157310.0
2021-05-01,7712350.0
2021-06-01,6191210.0
2021-07-01,7007350.0
2021-08-01,6449310.0
2021-09-01,6952350.0
2021-10-01,6579310.0
2021-11-01,7032350.0
2021-12-01,6042150.0
2022-01-01,6082391.119916633
2022-02-01,7599836.367082829
2022-03-01,9121963.347598549
2022-04-01,8566923.347598549
2022-05-01,9121963.347598549
2022-06-01,7494570.272423539
