,원자재코드,"생산작업지시구분(생산:A,생산제외:D)",작업지시타입(일반:WO/재투입:WR),"사업단위(평택:20000,태안:60000등)",생산작업요청일자,LOT번호,분할순번,제품코드,제품BOM차수,원자재투입순번,원자재명,원자재탱크번호,투입지시중량,투입지시비율,투입지시오차비율,투입지시단위,시방원재료적요,추가투입량(생산자판단),정지중량(유속흐름제어),스텝그룹넘버,비고
0,SR11002,A,WO,20000,2021-02-22,580F21022209,0,PEMA033101400,25,1,사용수,30,450.0,3.0,0,KG,,0.0,60.0,1,
1,SR35218,A,WO,20000,2021-02-22,580F21022209,0,PEMA033101400,25,2,WRE-580FX(55%),16,13095.0,87.3,0,KG,,0.0,15.0,1,
2,SR35904,A,WO,20000,2021-02-22,580F21022209,0,PEMA033101400,25,3,Urea-20%,4,1455.0,9.7,0,KG,,0.0,40.0,1,
3,SR11002,A,WO,20000,2021-02-22,580F21022215,0,PEMA023098200,65,1,사용수,30,1800.0,9.0,0,KG,,0.0,20.0,1,
4,SR35218,A,WO,20000,2021-02-22,580F21022215,0,PEMA023098200,65,2,WRE-580FX(55%),22,18200.0,91.0,0,KG,,0.0,10.0,1,
5,SR15500,A,WO,20000,2021-02-22,AE21022240,0,SSA073046500,287,1,공기연행제,6,2000.0,100.0,0,KG,CJ !!,0.0,20.0,1,
6,SR11002,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,1,사용수,30,6640.0,66.4,0,KG,재활용수800kg,15.0,60.0,1,
7,SR13801,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,3,액상리그닌,0,5.0,0.05,0,KG,,0.0,0.0,1,
8,SR16600,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,6,RA-300S,1,275.0,2.75,0,KG,,0.0,5.0,1,
9,SR35224,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,4,WRE-770,18,1180.0,11.8,0,KG,,0.0,20.0,1,
10,SR35903,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,7,PCA3000,10,400.0,4.0,0,KG,마지막투입,0.0,30.0,1,
11,SR35904,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,5,Urea-20%,4,1490.0,14.9,0,KG,,0.0,40.0,1,
12,SR68222,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,2,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
13,SR11002,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,1,사용수,30,6835.0,68.35,0,KG,재활용수800kg,15.0,60.0,1,
14,SR13801,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,3,액상리그닌,0,5.0,0.05,0,KG,,0.0,0.0,1,
15,SR16600,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,6,RA-300S,1,600.0,6.0,0,KG,,0.0,5.0,1,
16,SR35224,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,4,WRE-770,18,1400.0,14.0,0,KG,,0.0,20.0,1,
17,SR35903,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,7,PCA3000,10,300.0,3.0,0,KG,마지막투입,0.0,20.0,1,
18,SR35904,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,5,Urea-20%,4,850.0,8.5,0,KG,,0.0,25.0,1,
19,SR68222,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,2,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
20,SR11002,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,1,사용수,30,5050.0,50.5,0,KG,재활용수800kg적용,20.0,60.0,1,
21,SR13801,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,2,액상리그닌,0,10.0,0.1,0,KG,,0.0,0.0,1,
22,SR16600,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,6,RA-300S,1,1430.0,14.3,0,KG,,0.0,5.0,1,
23,SR35224,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,4,WRE-770,18,600.0,6.0,0,KG,,0.0,20.0,1,
24,SR35903,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,7,PCA3000,10,200.0,2.0,0,KG,마지막투입,0.0,20.0,1,
25,SR35904,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,5,Urea-20%,4,2700.0,27.0,0,KG,,0.0,25.0,1,
26,SR68222,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
27,SR11002,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,1,사용수,30,6173.0,61.73,0,KG,재활용수금지,17.0,45.0,1,
28,SR13801,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,2,액상리그닌,3,7.0,0.07,0,KG,,0.0,0.0,1,
29,SR35224,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,4,WRE-770,18,1210.0,12.1,0,KG,,0.0,20.0,1,
30,SR35225,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,5,WRE-550T,21,440.0,4.4,0,KG,,0.0,15.0,1,
31,SR35903,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,7,PCA3000,10,650.0,6.5,0,KG,마지막투입,0.0,25.0,1,
32,SR35904,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,6,Urea-20%,4,1510.0,15.1,0,KG,,0.0,35.0,1,
33,SR68222,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
34,SR11002,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,1,사용수,30,5773.0,57.73,0,KG,재활용수800KG,17.0,45.0,1,
35,SR13801,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,2,액상리그닌,3,7.0,0.07,0,KG,,0.0,0.0,1,
36,SR16600,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,7,RA-300S,1,500.0,5.0,0,KG,,0.0,5.0,1,
37,SR35224,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,4,WRE-770,18,1110.0,11.1,0,KG,,0.0,20.0,1,
38,SR35225,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,5,WRE-550T,21,440.0,4.4,0,KG,,0.0,15.0,1,
39,SR35903,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,8,PCA3000,10,650.0,6.5,0,KG,마지막투입,0.0,25.0,1,
40,SR35904,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,6,Urea-20%,4,1510.0,15.1,0,KG,,0.0,35.0,1,
41,SR68222,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
42,SR11002,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,1,사용수,30,7547.0,75.47,0,KG,재활용수800kg,12.0,45.0,1,
43,SR13801,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,2,액상리그닌,0,5.0,0.05,0,KG,,0.0,0.0,1,
44,SR16600,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,6,RA-300S,1,21.0,0.21,0,KG,,0.0,5.0,1,
45,SR35218,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,4,WRE-580FX(55%),16,795.0,7.95,0,KG,,0.0,15.0,1,
46,SR35228,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,5,SRE-200SD-T,14,1625.0,16.25,0,KG,,0.0,10.0,1,
47,SR38117,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,3,PC소포제,0,7.0,0.07,0,KG,,0.0,0.0,1,
48,SR11002,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,1,사용수,30,4676.0,66.8,0,KG,재활용수560kg적용,14.0,60.0,1,
49,SR13801,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,2,액상리그닌,0,7.0,0.1,0,KG,,0.0,0.0,1,
50,SR16002,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,4,글루콘산소다,2,140.0,2.0,0,KG,,0.0,40.0,1,
51,SR16600,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,7,RA-300S,1,105.0,1.5,0,KG,,0.0,5.0,1,
52,SR35224,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,5,WRE-770,18,805.0,11.5,0,KG,,0.0,20.0,1,
53,SR35903,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,8,PCA3000,10,420.0,6.0,0,KG,마지막투입,0.0,20.0,1,
54,SR35904,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,6,Urea-20%,4,840.0,12.0,0,KG,,0.0,25.0,1,
55,SR68222,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,3,소포제(MR-130),0,7.0,0.1,0,KG,,0.0,0.0,1,
56,SR11002,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,1,사용수,30,5950.0,59.5,0,KG,재활용수800kg,20.0,60.0,1,
57,SR13801,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,2,액상리그닌,0,10.0,0.1,0,KG,,0.0,0.0,1,
58,SR16600,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,7,RA-300S,1,340.0,3.4,0,KG,,0.0,5.0,1,
59,SR35224,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,4,WRE-770,18,1490.0,14.9,0,KG,,0.0,20.0,1,
60,SR35225,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,5,WRE-550T,21,200.0,2.0,0,KG,,0.0,15.0,1,
61,SR35903,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,8,PCA3000,10,400.0,4.0,0,KG,마지막투입,0.0,20.0,1,
62,SR35904,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,6,Urea-20%,4,1600.0,16.0,0,KG,,0.0,25.0,1,
63,SR68222,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
64,SR11002,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,1,사용수,30,3676.5,73.53,0,KG,재활용수400KG,8.5,55.0,1,
65,SR13801,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,2,액상리그닌,0,2.5,0.05,0,KG,,0.0,0.0,1,
66,SR16600,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,6,RA-300S,1,265.0,5.3,0,KG,,0.0,5.0,1,
67,SR35224,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,4,WRE-770,18,350.0,7.0,0,KG,,0.0,20.0,1,
68,SR35228,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,5,SRE-200SD-T,14,700.0,14.0,0,KG,,0.0,10.0,1,
69,SR68222,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,3,소포제(MR-130),0,6.0,0.12,0,KG,,0.0,0.0,1,
70,SR11002,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,1,사용수,30,7185.0,71.85,0,KG,재활용수800kg적용,15.0,60.0,1,
71,SR13801,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,2,액상리그닌,0,5.0,0.05,0,KG,,0.0,0.0,1,
72,SR16600,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,6,RA-300S,1,200.0,2.0,0,KG,,0.0,5.0,1,
73,SR35224,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,4,WRE-770,18,1820.0,18.2,0,KG,,0.0,20.0,1,
74,SR35228,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,5,SRE-200SD-T,14,780.0,7.8,0,KG,,0.0,10.0,1,
75,SR68222,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
76,SR11002,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,1,사용수,30,6915.0,69.15,0,KG,재활용수800KG,15.0,60.0,1,
77,SR13801,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,2,액상리그닌,0,5.0,0.05,0,KG,,0.0,0.0,1,
78,SR16600,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,8,RA-300S,1,80.0,0.8,0,KG,,0.0,5.0,1,
79,SR35224,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,4,WRE-770,18,150.0,1.5,0,KG,,0.0,20.0,1,
80,SR35225,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,5,WRE-550T,21,1100.0,11.0,0,KG,,0.0,15.0,1,
81,SR35228,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,6,SRE-200SD-T,14,800.0,8.0,0,KG,,0.0,10.0,1,
82,SR35903,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,9,PCA3000,10,450.0,4.5,0,KG,마지막투입,0.0,30.0,1,
83,SR35904,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,7,Urea-20%,4,490.0,4.9,0,KG,,0.0,40.0,1,
84,SR68222,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,3,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
85,SR11002,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,1,사용수,30,6002.0,60.02,0,KG,재활용수800kg적용,14.0,60.0,1,
86,SR13801,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,3,액상리그닌,0,4.0,0.04,0,KG,,0.0,0.0,1,
87,SR16600,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,6,RA-300S,1,74.0,0.74,0,KG,,0.0,5.0,1,
88,SR35224,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,4,WRE-770,18,1960.0,19.6,0,KG,,0.0,20.0,1,
89,SR35903,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,7,PCA3000,10,500.0,5.0,0,KG,마지막투입,0.0,30.0,1,
90,SR35904,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,5,Urea-20%,4,1450.0,14.5,0,KG,,0.0,40.0,1,
