,수주번호,거래처코드,제품코드,"영업등록구분(계획, 추가)",수주량,수주단가,수주금액,수주예정일자,수주일자,납기예정일자,납기일자,생산계획확정여부,자재계획확정여부,판매수량,진행현황,적재창고위치,적재창고위치명,긴급여부,비고
0,580F21022209,2001102,PEMA033101400,계획,15000,1000,15000000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,15000,완료,20000,태안,N,
1,580F21022215,2001200,PEMA023098200,계획,20000,1001,20020000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,20000,완료,20000,태안,N,
2,AE21022240,2001300,SSA073046500,계획,2000,1002,2004000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,2000,완료,20000,태안,N,
3,CSA521022218,2001400,PEMA043099800,계획,10000,1003,10030000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
4,CSA521022232,2001500,PEMA013120000,계획,10000,1004,10040000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
5,CSA521022242,2001600,PEMA013085300,계획,10000,1005,10050000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
6,HR1021022211,2001700,PEMA023100800,계획,10000,1006,10060000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
7,HR1021022212,2001800,PEMA023100800,계획,10000,1007,10070000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
8,HR1021022216,2002000,PEMA013131100,계획,10000,1008,10080000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
9,HR1021022223,2002100,PEMA013000210,계획,7000,1009,7063000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000,완료,20000,태안,N,
10,HR1021022224,2002200,PEMA063041501,계획,10000,1010,10100000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
11,HR1021022225,2002300,PEMA013121910,계획,5000,1011,5055000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
12,HR1021022226,2002400,PEMA013078018,계획,10000,1012,10120000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
13,HR1021022227,2002500,PEMA013060901,계획,10000,1013,10130000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
14,HR1021022229,2002600,PEMA013046900,계획,10000,1014,10140000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
15,HR1021022231,2002700,PEMA013058613,계획,5000,1015,5075000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
16,HR1021022233,2002800,PEMA013125500,계획,10000,1016,10160000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
17,HR1021022236,2002900,PEMA023046501,계획,10000,1017,10170000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
18,HR1021022237,2003000,PEMA033046500,계획,5000,1018,5090000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
19,HR1021022241,2003100,PEMA223048300,계획,7000,1019,7133000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000,완료,20000,태안,N,
20,HR1021022243,2003200,PEMA013105210,계획,9000,1020,9180000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,9000,완료,20000,태안,N,
21,HR1521022213,2003300,PEMA023080800,계획,10000,1021,10210000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
22,HR1521022217,2003400,PEMA023092101,계획,7000,1022,7154000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000,완료,20000,태안,N,
23,HR1521022219,2003500,PEMA033030500,계획,12000,1023,12276000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,12000,완료,20000,태안,N,
24,HR1521022239,2003600,PEMA053046500,계획,5000,1024,5120000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
25,PEMA210223,2003700,PCA021027605,계획,12100,1025,12402500,2021-02-21,2021-02-21,2021-02-24,2021-02-24,Y,Y,12100,완료,20000,태안,N,
26,PR1021022210,2003800,PEMA023129801,계획,3000,1026,3078000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,3000,완료,20000,태안,N,
27,PR1021022210,2003900,PEMA023129801,계획,22000,1027,22594000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,22000,완료,20000,태안,N,
28,PR1021022234,2004000,PEMA013901520,계획,20000,1028,20560000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,20000,완료,20000,태안,N,
29,SR2021022214,2004100,PEMA033078017,계획,5000,1029,5145000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
30,SR2021022221,2004104,PEMA043080500,계획,5000,1030,5150000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
31,SR2021022222,2004200,PEMA043080500,계획,2000,1031,2062000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,2000,완료,20000,태안,N,
32,SR2021022238,2004300,PEMA043062000,계획,6000,1032,6192000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,6000,완료,20000,태안,N,
33,SR3F21022220,2004400,PEMA063030500,계획,3000,1033,3099000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,3000,완료,20000,태안,N,
34,SR3F21022235,2004500,PEMA023030801,계획,6000,1034,6204000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,6000,완료,20000,태안,N,
35,500F21022309,2004600,PEMA023058600,계획,15000,1035,15525000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,15000,완료,20000,태안,N,
36,580F21022311,2004700,PEMA073050413,계획,15000,1036,15540000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,15000,완료,20000,태안,N,
37,580F21022312,2004800,PEMA013099150,계획,20000,1037,20740000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,20000,완료,20000,태안,N,
38,CR1021022315,2004901,PEMA023123000,계획,3000,1038,3114000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,3000,완료,20000,태안,N,
39,CR1021022316,2005000,PEMA023123000,계획,7000,1039,7273000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,7000,완료,20000,태안,N,
40,CSA421022326,2005100,PEMA013046500,계획,5000,1040,5200000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000,완료,20000,태안,N,
41,CSA521022310,2005200,PEMA023052200,계획,10000,1041,10410000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
42,CSA521022324,2005300,PEMA553048200,계획,10000,1042,10420000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
43,CSA521022334,2005400,PEMA013111300,계획,10000,1043,10430000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
44,CSA521022335,2005500,PEMA023035315,계획,8000,1044,8352000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000,완료,20000,태안,N,
45,CSA521022342,2005600,PEMA023001000,계획,10000,1045,10450000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
46,HR1021022228,2005700,PEMA013039505,계획,7000,1046,7322000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,7000,완료,20000,태안,N,
47,HR1021022230,2005800,PEMA013049304,계획,10000,1047,10470000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
48,HR1021022244,2005900,PEMA013010100,계획,10000,1048,10480000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
49,HR1021022245,2006000,PEMA013041507,계획,7000,1049,7343000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000,완료,20000,태안,N,
50,HR1021022246,2006100,PEMA013099140,계획,3000,1050,3150000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,3000,완료,20000,태안,N,
51,HR1021022247,2006200,PEMA013099140,계획,7000,1051,7357000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,7000,완료,20000,태안,N,
52,HR1021022248,2006300,PEMA033088300,계획,10000,1052,10520000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
53,HR1021022314,2006400,PEMA623022500,계획,10000,1053,10530000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
54,HR1021022322,2006500,PEMA043101200,계획,10000,1054,10540000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
55,HR1021022323,2006600,PEMA013125010,계획,5000,1055,5275000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000,완료,20000,태안,N,
56,HR1021022325,2006606,PEMA153001100,계획,5000,1056,5280000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000,완료,20000,태안,N,
57,HR1021022327,2006609,PEMA033046500,계획,10000,1057,10570000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
58,HR1021022328,2006612,PEMA013017400,계획,5000,1058,5290000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000,완료,20000,태안,N,
59,HR1021022331,2006700,PEMA013005900,계획,10000,1059,10590000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
60,HR1021022332,2006800,PEMA013072100,계획,8000,1060,8480000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000,완료,20000,태안,N,
61,HR1021022333,2006900,PEMA013089230,계획,10000,1061,10610000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
62,HR1021022336,2007000,PEMA023061900,계획,8000,1062,8496000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000,완료,20000,태안,N,
63,HR1021022338,2007100,PEMA033041500,계획,10000,1063,10630000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
64,HR1021022340,2007200,PEMA043001100,계획,10000,1064,10640000,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000,완료,20000,태안,N,
