,제품코드,약식품번(제품번호와같이키값으로사용),제품BOM차수,제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
0,PCA021027605,807082,1,ARE-580FX(50%)크로아티아P,,102201
1,PCA031024602,808083,1,SRE-110콜롬비아,,102201
2,PEMA003039101,804589,1,CSA5000석진(음성),,102201
3,PEMA013000210,806251,1,PEMA-HR1000가야(인천),,102201
4,PEMA013002500,780941,1,PEMA-HR1500경남(사천),PEMA21408B,102201
5,PEMA013002700,780140,1,PEMA-HR1000경보(하동),PEMA21492,102201
6,PEMA013004500,774057,1,PEMA-HR1000공단(대전),PEMA10022,102201
7,PEMA013004501,804776,1,PEMA-HR1500공단(청주),,102201
8,PEMA013005900,774065,1,PEMA-HR1000구례(구례),PEMA10184,102201
9,PEMA013007300,805486,1,PEMA-HR1500금강(산청),,102201
10,PEMA013010100,765695,1,PEMA-HR1000남성(화성),,102201
11,PEMA013010900,765708,1,PEMA-HR1000내포(홍성),,102201
12,PEMA013012300,808358,1,PEMA-HR1000대덕(담양),,102201
13,PEMA013012600,773687,1,CSA5000대동남(익산),CSA10041,102201
14,PEMA013013010,805956,1,PEMA-HR1000대동(대구),,102201
15,PEMA013013100,774129,1,PEMA-HR1000대림(장성),PEMA11802,102201
16,PEMA013015800,774153,1,PEMA-HR1000대연(전주),PEMA10050,102201
17,PEMA013015900,780246,1,PEMA-HR1000대영(함안),PEMA21540,102201
18,PEMA013017200,804138,1,PEMA-HR1000대원바텍(군산),,102201
19,PEMA013017400,774161,1,PEMA-HR1000대원(군산한전주),PEMA11730,102201
20,PEMA013017800,807297,1,PEMA-HR1000대진(순창),,102201
21,PEMA013019100,805987,1,PEMA-HR1500대호(서산),,102201
22,PEMA013019701,807755,1,PEMA-HR1000덕원(춘천),,102201
23,PEMA013019702,805066,1,PEMA-HR1000덕원(평택),,102201
24,PEMA013020100,774217,1,PEMA-HR1000동국(해남),PEMA21130,102201
25,PEMA013020300,773732,1,CSA5000동남(장수),CSA31004,102201
26,PEMA013020900,774997,1,PEMA-HR1500동방(전주),PEMA21004H,102201
27,PEMA013021700,779641,1,CSA5000동서(부산),CSA11723,102201
28,PEMA013022400,780297,1,PEMA-HR1000동아(함안),PEMA31119,102201
29,PEMA013023005,804819,1,PEMA-HR1000동양(안양),,102201
30,PEMA013023009,804314,1,PEMA-HR1500동양건재(부산),PEMA013023009,102201
31,PEMA013023013,805837,1,PEMA-HR1000 동양건재(대구),,102201
32,PEMA013023016,806331,1,PEMA-HR1000동양(원주),,102201
33,PEMA013023500,779675,1,CSA5000동양산업(김해),CSA10061,102201
34,PEMA013023700,806652,1,PEMA-HR1500동양(나주),,102201
35,PEMA013024500,773759,1,CSA5000동주(함양),CSA11009C,102201
36,PEMA013024804,806064,1,PEMA-PR1000동진파일(서산),,102201
37,PEMA013026702,765839,1,PEMA-HR1000모헨즈(천안),,102201
38,PEMA013028200,775041,1,PEMA-HR1500바나(여수),PEMA21542,102201
39,PEMA013029200,804891,1,CSA4000보림(합천),,102201
40,PEMA013030400,765898,1,PEMA-HR1000부국(대전),,102201
41,PEMA013030401,765901,1,PEMA-HR1000부국(부천),,102201
42,PEMA013030801,781214,1,PEMA-HR1500부일(회동동),PEMA22654,102201
43,PEMA013031700,807308,1,CSA5000삼덕(인천),,102201
44,PEMA013031800,765927,1,PEMA-HR1000삼덕(평택),,102201
45,PEMA013032200,774356,1,PEMA-HR1000삼보(완주),PEMA11004C,102201
46,PEMA013032302,766381,1,PEMA-HR1000아세아(수원),,102201
47,PEMA013032800,806926,1,PEMA-HR1000삼성(부안),,102201
48,PEMA013033302,804106,1,PEMA-PR1000삼성(단촌),,102201
49,PEMA013033510,806734,1,PEMA-PR1000삼성(창녕),,102201
50,PEMA013035303,765978,1,PEMA-HR1000삼표(성수),,102201
51,PEMA013035304,765986,1,PEMA-HR1000삼표(송도),,102201
52,PEMA013035305,765994,1,PEMA-HR1000삼표(인천),,102201
53,PEMA013035306,774401,1,PEMA-HR1000삼표(청원),PEMA11831,102201
54,PEMA013035308,804241,1,PEMA-HR1000삼표(화성),,102201
