,평균온도,일강수량,상대습도,최심적설,기준금리,착공지수,출하량,수주량,예상중량,AE,ARE-580FX,CSA4000,CSA5000,PEMA-500FR,PEMA-580FX,PEMA-CR1000,PEMA-CSA5000,PEMA-HR1000,PEMA-HR1000S,PEMA-HR1500,PEMA-PCM2000,PEMA-PCM2000B,PEMA-PCR3000E,PEMA-PCR3000N,PEMA-PR1000,PEMA-PR2000,PEMA-SN400,PEMA-SP1000,PEMA-SPR,PEMA-SR2000,PEMA-SR2000A,PEMA-SR3000F,PEMA-SR5000F,PR1000,SRE-110,SRE-200,제품명
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,338000.0,343884.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-HR1000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,85000.0,63342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PEMA-PR1000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,85000.0,96888.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PEMA-SR2000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,46000.0,40072.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PEMA-SR3000F
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,12000.0,9542.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSA4000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,133000.0,96310.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSA5000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,55000.0,50754.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-500FR
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,65000.0,76142.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-580FX
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,10000.0,7154.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-CR1000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,10000.0,8697.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-CSA5000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,168000.0,144418.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-HR1500
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,35000.0,31329.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PEMA-SN400
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,17000.0,17504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PEMA-SR2000A
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,17000.0,14855.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AE
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,8000.0,8275.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEMA-PCM2000
2020-01-07,2.7500751879699243,7.034736842105263,72.21593984962406,0.024360902255639,1.25,0.0177849686553636,610.5806451612902,35000.0,30144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PEMA-PR2000
